game,winning_player,player0,player1,player2,player3
0,2,MCTS,MCTS,MCTS,MCTS
1,,MCTS,MCTS,MCTS,MCTS
2,,MCTS,MCTS,MCTS,MCTS
3,,MCTS,MCTS,MCTS,MCTS
4,3,MCTS,MCTS,MCTS,MCTS
5,,MCTS,MCTS,MCTS,MCTS
6,,MCTS,MCTS,MCTS,MCTS
7,,MCTS,MCTS,MCTS,MCTS
8,,MCTS,MCTS,MCTS,MCTS
9,,MCTS,MCTS,MCTS,MCTS
10,,MCTS,MCTS,MCTS,MCTS
11,3,MCTS,MCTS,MCTS,MCTS
12,,MCTS,MCTS,MCTS,MCTS
13,,MCTS,MCTS,MCTS,MCTS
14,,MCTS,MCTS,MCTS,MCTS
15,3,MCTS,MCTS,MCTS,MCTS
16,,MCTS,MCTS,MCTS,MCTS
17,,MCTS,MCTS,MCTS,MCTS
18,0,MCTS,MCTS,MCTS,MCTS
19,3,MCTS,MCTS,MCTS,MCTS
20,,MCTS,MCTS,MCTS,MCTS
21,1,MCTS,MCTS,MCTS,MCTS
22,,MCTS,MCTS,MCTS,MCTS
23,,MCTS,MCTS,MCTS,MCTS
24,,MCTS,MCTS,MCTS,MCTS
25,,MCTS,MCTS,MCTS,MCTS
26,,MCTS,MCTS,MCTS,MCTS
27,,MCTS,MCTS,MCTS,MCTS
28,2,MCTS,MCTS,MCTS,MCTS
29,2,MCTS,MCTS,MCTS,MCTS
30,1,MCTS,MCTS,MCTS,MCTS
31,,MCTS,MCTS,MCTS,MCTS
32,,MCTS,MCTS,MCTS,MCTS
33,0,MCTS,MCTS,MCTS,MCTS
34,,MCTS,MCTS,MCTS,MCTS
35,3,MCTS,MCTS,MCTS,MCTS
36,3,MCTS,MCTS,MCTS,MCTS
37,2,MCTS,MCTS,MCTS,MCTS
38,1,MCTS,MCTS,MCTS,MCTS
39,,MCTS,MCTS,MCTS,MCTS
40,2,MCTS,MCTS,MCTS,MCTS
41,1,MCTS,MCTS,MCTS,MCTS
42,,MCTS,MCTS,MCTS,MCTS
43,,MCTS,MCTS,MCTS,MCTS
44,,MCTS,MCTS,MCTS,MCTS
45,,MCTS,MCTS,MCTS,MCTS
46,2,MCTS,MCTS,MCTS,MCTS
47,0,MCTS,MCTS,MCTS,MCTS
48,,MCTS,MCTS,MCTS,MCTS
49,,MCTS,MCTS,MCTS,MCTS
50,,MCTS,MCTS,MCTS,MCTS
51,,MCTS,MCTS,MCTS,MCTS
52,,MCTS,MCTS,MCTS,MCTS
53,,MCTS,MCTS,MCTS,MCTS
54,,MCTS,MCTS,MCTS,MCTS
55,,MCTS,MCTS,MCTS,MCTS
56,,MCTS,MCTS,MCTS,MCTS
57,,MCTS,MCTS,MCTS,MCTS
58,,MCTS,MCTS,MCTS,MCTS
59,3,MCTS,MCTS,MCTS,MCTS
60,,MCTS,MCTS,MCTS,MCTS
61,,MCTS,MCTS,MCTS,MCTS
62,,MCTS,MCTS,MCTS,MCTS
63,,MCTS,MCTS,MCTS,MCTS
64,,MCTS,MCTS,MCTS,MCTS
65,,MCTS,MCTS,MCTS,MCTS
66,1,MCTS,MCTS,MCTS,MCTS
67,,MCTS,MCTS,MCTS,MCTS
68,1,MCTS,MCTS,MCTS,MCTS
69,,MCTS,MCTS,MCTS,MCTS
70,,MCTS,MCTS,MCTS,MCTS
71,,MCTS,MCTS,MCTS,MCTS
72,,MCTS,MCTS,MCTS,MCTS
73,,MCTS,MCTS,MCTS,MCTS
74,,MCTS,MCTS,MCTS,MCTS
75,,MCTS,MCTS,MCTS,MCTS
76,,MCTS,MCTS,MCTS,MCTS
77,,MCTS,MCTS,MCTS,MCTS
78,,MCTS,MCTS,MCTS,MCTS
79,,MCTS,MCTS,MCTS,MCTS
80,,MCTS,MCTS,MCTS,MCTS
81,,MCTS,MCTS,MCTS,MCTS
82,0,MCTS,MCTS,MCTS,MCTS
83,,MCTS,MCTS,MCTS,MCTS
84,,MCTS,MCTS,MCTS,MCTS
85,,MCTS,MCTS,MCTS,MCTS
86,2,MCTS,MCTS,MCTS,MCTS
87,,MCTS,MCTS,MCTS,MCTS
88,1,MCTS,MCTS,MCTS,MCTS
89,,MCTS,MCTS,MCTS,MCTS
90,,MCTS,MCTS,MCTS,MCTS
91,3,MCTS,MCTS,MCTS,MCTS
92,1,MCTS,MCTS,MCTS,MCTS
93,,MCTS,MCTS,MCTS,MCTS
94,,MCTS,MCTS,MCTS,MCTS
95,,MCTS,MCTS,MCTS,MCTS
96,,MCTS,MCTS,MCTS,MCTS
97,,MCTS,MCTS,MCTS,MCTS
98,,MCTS,MCTS,MCTS,MCTS
99,3,MCTS,MCTS,MCTS,SEMIRANDOM
100,,MCTS,MCTS,MCTS,SEMIRANDOM
101,3,MCTS,MCTS,MCTS,SEMIRANDOM
102,2,MCTS,MCTS,MCTS,SEMIRANDOM
103,,MCTS,MCTS,MCTS,SEMIRANDOM
104,,MCTS,MCTS,MCTS,SEMIRANDOM
105,,MCTS,MCTS,MCTS,SEMIRANDOM
106,,MCTS,MCTS,MCTS,SEMIRANDOM
107,3,MCTS,MCTS,MCTS,SEMIRANDOM
108,3,MCTS,MCTS,MCTS,SEMIRANDOM
109,,MCTS,MCTS,MCTS,SEMIRANDOM
110,,MCTS,MCTS,MCTS,SEMIRANDOM
111,3,MCTS,MCTS,MCTS,SEMIRANDOM
112,,MCTS,MCTS,MCTS,SEMIRANDOM
113,,MCTS,MCTS,MCTS,SEMIRANDOM
114,,MCTS,MCTS,MCTS,SEMIRANDOM
115,0,MCTS,MCTS,MCTS,SEMIRANDOM
116,,MCTS,MCTS,MCTS,SEMIRANDOM
117,,MCTS,MCTS,MCTS,SEMIRANDOM
118,,MCTS,MCTS,MCTS,SEMIRANDOM
119,,MCTS,MCTS,MCTS,SEMIRANDOM
120,,MCTS,MCTS,MCTS,SEMIRANDOM
121,,MCTS,MCTS,MCTS,SEMIRANDOM
122,,MCTS,MCTS,MCTS,SEMIRANDOM
123,,MCTS,MCTS,MCTS,SEMIRANDOM
124,2,MCTS,MCTS,MCTS,SEMIRANDOM
125,2,MCTS,MCTS,MCTS,SEMIRANDOM
126,,MCTS,MCTS,MCTS,SEMIRANDOM
127,3,MCTS,MCTS,MCTS,SEMIRANDOM
128,,MCTS,MCTS,MCTS,SEMIRANDOM
129,,MCTS,MCTS,MCTS,SEMIRANDOM
130,3,MCTS,MCTS,MCTS,SEMIRANDOM
131,3,MCTS,MCTS,MCTS,SEMIRANDOM
132,0,MCTS,MCTS,MCTS,SEMIRANDOM
133,,MCTS,MCTS,MCTS,SEMIRANDOM
134,2,MCTS,MCTS,MCTS,SEMIRANDOM
135,0,MCTS,MCTS,MCTS,SEMIRANDOM
136,,MCTS,MCTS,MCTS,SEMIRANDOM
137,0,MCTS,MCTS,MCTS,SEMIRANDOM
138,,MCTS,MCTS,MCTS,SEMIRANDOM
139,1,MCTS,MCTS,MCTS,SEMIRANDOM
140,3,MCTS,MCTS,MCTS,SEMIRANDOM
141,,MCTS,MCTS,MCTS,SEMIRANDOM
142,3,MCTS,MCTS,MCTS,SEMIRANDOM
143,0,MCTS,MCTS,MCTS,SEMIRANDOM
144,1,MCTS,MCTS,MCTS,SEMIRANDOM
145,,MCTS,MCTS,MCTS,SEMIRANDOM
146,,MCTS,MCTS,MCTS,SEMIRANDOM
147,3,MCTS,MCTS,MCTS,SEMIRANDOM
148,3,MCTS,MCTS,MCTS,SEMIRANDOM
149,1,MCTS,MCTS,MCTS,SEMIRANDOM
150,,MCTS,MCTS,MCTS,SEMIRANDOM
151,,MCTS,MCTS,MCTS,SEMIRANDOM
152,2,MCTS,MCTS,MCTS,SEMIRANDOM
153,,MCTS,MCTS,MCTS,SEMIRANDOM
154,,MCTS,MCTS,MCTS,SEMIRANDOM
155,3,MCTS,MCTS,MCTS,SEMIRANDOM
156,0,MCTS,MCTS,MCTS,SEMIRANDOM
157,3,MCTS,MCTS,MCTS,SEMIRANDOM
158,,MCTS,MCTS,MCTS,SEMIRANDOM
159,0,MCTS,MCTS,MCTS,SEMIRANDOM
160,,MCTS,MCTS,MCTS,SEMIRANDOM
161,3,MCTS,MCTS,MCTS,SEMIRANDOM
162,,MCTS,MCTS,MCTS,SEMIRANDOM
163,,MCTS,MCTS,MCTS,SEMIRANDOM
164,,MCTS,MCTS,MCTS,SEMIRANDOM
165,,MCTS,MCTS,MCTS,SEMIRANDOM
166,,MCTS,MCTS,MCTS,SEMIRANDOM
