game,winning_player,player0,player1,player2,player3
0,1,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
1,1,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
2,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
3,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
4,2,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
5,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
6,1,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
7,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
8,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
9,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
10,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
11,2,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
12,2,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
13,0,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
14,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
15,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
16,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
17,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
18,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
19,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
20,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
21,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
22,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
23,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
24,3,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
25,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
26,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
27,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
28,0,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
29,0,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
30,,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
31,1,HANDSCORE,HANDSCORE,HANDSCORE,HANDSCORE
