game,winning_player,player0,player1,player2,player3
0,1,MCTS,MCTS,MCTS,MCTS
1,,MCTS,MCTS,MCTS,MCTS
2,,MCTS,MCTS,MCTS,MCTS
3,0,MCTS,MCTS,MCTS,MCTS
4,,MCTS,MCTS,MCTS,MCTS
5,,MCTS,MCTS,MCTS,MCTS
6,,MCTS,MCTS,MCTS,MCTS
7,,MCTS,MCTS,MCTS,MCTS
8,,MCTS,MCTS,MCTS,MCTS
9,,MCTS,MCTS,MCTS,MCTS
10,,MCTS,MCTS,MCTS,MCTS
11,,MCTS,MCTS,MCTS,MCTS
12,,MCTS,MCTS,MCTS,MCTS
13,3,MCTS,MCTS,MCTS,MCTS
14,0,MCTS,MCTS,MCTS,MCTS
15,,MCTS,MCTS,MCTS,MCTS
16,,MCTS,MCTS,MCTS,MCTS
17,0,MCTS,MCTS,MCTS,MCTS
18,,MCTS,MCTS,MCTS,MCTS
19,0,MCTS,MCTS,MCTS,MCTS
20,3,MCTS,MCTS,MCTS,MCTS
21,,MCTS,MCTS,MCTS,MCTS
22,,MCTS,MCTS,MCTS,MCTS
23,,MCTS,MCTS,MCTS,MCTS
24,,MCTS,MCTS,MCTS,MCTS
25,3,MCTS,MCTS,MCTS,MCTS
26,,MCTS,MCTS,MCTS,MCTS
27,,MCTS,MCTS,MCTS,MCTS
28,,MCTS,MCTS,MCTS,MCTS
29,,MCTS,MCTS,MCTS,MCTS
30,3,MCTS,MCTS,MCTS,MCTS
31,,MCTS,MCTS,MCTS,MCTS
32,,MCTS,MCTS,MCTS,MCTS
33,,MCTS,MCTS,MCTS,MCTS
34,,MCTS,MCTS,MCTS,MCTS
35,3,MCTS,MCTS,MCTS,MCTS
36,2,MCTS,MCTS,MCTS,MCTS
37,2,MCTS,MCTS,MCTS,MCTS
38,,MCTS,MCTS,MCTS,MCTS
39,,MCTS,MCTS,MCTS,MCTS
40,,MCTS,MCTS,MCTS,MCTS
41,,MCTS,MCTS,MCTS,MCTS
42,0,MCTS,MCTS,MCTS,MCTS
43,,MCTS,MCTS,MCTS,MCTS
44,,MCTS,MCTS,MCTS,MCTS
45,1,MCTS,MCTS,MCTS,MCTS
46,,MCTS,MCTS,MCTS,MCTS
47,,MCTS,MCTS,MCTS,MCTS
48,,MCTS,MCTS,MCTS,MCTS
49,,MCTS,MCTS,MCTS,MCTS
50,,MCTS,MCTS,MCTS,MCTS
51,3,MCTS,MCTS,MCTS,MCTS
52,2,MCTS,MCTS,MCTS,MCTS
53,,MCTS,MCTS,MCTS,MCTS
54,,MCTS,MCTS,MCTS,MCTS
55,,MCTS,MCTS,MCTS,MCTS
56,,MCTS,MCTS,MCTS,MCTS
57,,MCTS,MCTS,MCTS,MCTS
58,2,MCTS,MCTS,MCTS,MCTS
59,2,MCTS,MCTS,MCTS,MCTS
60,1,MCTS,MCTS,MCTS,MCTS
61,,MCTS,MCTS,MCTS,MCTS
62,,MCTS,MCTS,MCTS,MCTS
63,,MCTS,MCTS,MCTS,MCTS
64,2,MCTS,MCTS,MCTS,MCTS
65,0,MCTS,MCTS,MCTS,MCTS
66,,MCTS,MCTS,MCTS,MCTS
67,3,MCTS,MCTS,MCTS,MCTS
68,,MCTS,MCTS,MCTS,MCTS
69,,MCTS,MCTS,MCTS,MCTS
70,,MCTS,MCTS,MCTS,MCTS
71,0,MCTS,MCTS,MCTS,MCTS
72,,MCTS,MCTS,MCTS,MCTS
73,,MCTS,MCTS,MCTS,MCTS
74,,MCTS,MCTS,MCTS,MCTS
75,2,MCTS,MCTS,MCTS,MCTS
76,,MCTS,MCTS,MCTS,MCTS
77,0,MCTS,MCTS,MCTS,MCTS
78,,MCTS,MCTS,MCTS,MCTS
79,,MCTS,MCTS,MCTS,MCTS
80,,MCTS,MCTS,MCTS,MCTS
81,2,MCTS,MCTS,MCTS,MCTS
82,,MCTS,MCTS,MCTS,MCTS
83,,MCTS,MCTS,MCTS,MCTS
84,,MCTS,MCTS,MCTS,MCTS
85,,MCTS,MCTS,MCTS,MCTS
86,,MCTS,MCTS,MCTS,MCTS
87,0,MCTS,MCTS,MCTS,MCTS
88,,MCTS,MCTS,MCTS,MCTS
89,,MCTS,MCTS,MCTS,MCTS
90,,MCTS,MCTS,MCTS,MCTS
91,,MCTS,MCTS,MCTS,MCTS
92,3,MCTS,MCTS,MCTS,MCTS
93,,MCTS,MCTS,MCTS,MCTS
94,,MCTS,MCTS,MCTS,MCTS
95,,MCTS,MCTS,MCTS,MCTS
96,,MCTS,MCTS,MCTS,MCTS
97,,MCTS,MCTS,MCTS,MCTS
98,,MCTS,MCTS,MCTS,MCTS
99,0,MCTS,MCTS,MCTS,MCTS
100,0,MCTS,MCTS,MCTS,SEMIRANDOM
101,,MCTS,MCTS,MCTS,SEMIRANDOM
102,,MCTS,MCTS,MCTS,SEMIRANDOM
103,,MCTS,MCTS,MCTS,SEMIRANDOM
104,,MCTS,MCTS,MCTS,SEMIRANDOM
105,,MCTS,MCTS,MCTS,SEMIRANDOM
106,3,MCTS,MCTS,MCTS,SEMIRANDOM
107,,MCTS,MCTS,MCTS,SEMIRANDOM
108,,MCTS,MCTS,MCTS,SEMIRANDOM
109,,MCTS,MCTS,MCTS,SEMIRANDOM
110,,MCTS,MCTS,MCTS,SEMIRANDOM
111,2,MCTS,MCTS,MCTS,SEMIRANDOM
112,1,MCTS,MCTS,MCTS,SEMIRANDOM
113,,MCTS,MCTS,MCTS,SEMIRANDOM
114,,MCTS,MCTS,MCTS,SEMIRANDOM
115,3,MCTS,MCTS,MCTS,SEMIRANDOM
116,0,MCTS,MCTS,MCTS,SEMIRANDOM
117,,MCTS,MCTS,MCTS,SEMIRANDOM
118,3,MCTS,MCTS,MCTS,SEMIRANDOM
119,3,MCTS,MCTS,MCTS,SEMIRANDOM
120,,MCTS,MCTS,MCTS,SEMIRANDOM
121,,MCTS,MCTS,MCTS,SEMIRANDOM
122,,MCTS,MCTS,MCTS,SEMIRANDOM
123,,MCTS,MCTS,MCTS,SEMIRANDOM
124,0,MCTS,MCTS,MCTS,SEMIRANDOM
125,,MCTS,MCTS,MCTS,SEMIRANDOM
126,,MCTS,MCTS,MCTS,SEMIRANDOM
127,,MCTS,MCTS,MCTS,SEMIRANDOM
128,,MCTS,MCTS,MCTS,SEMIRANDOM
129,,MCTS,MCTS,MCTS,SEMIRANDOM
130,,MCTS,MCTS,MCTS,SEMIRANDOM
131,2,MCTS,MCTS,MCTS,SEMIRANDOM
132,,MCTS,MCTS,MCTS,SEMIRANDOM
133,,MCTS,MCTS,MCTS,SEMIRANDOM
134,1,MCTS,MCTS,MCTS,SEMIRANDOM
135,,MCTS,MCTS,MCTS,SEMIRANDOM
136,,MCTS,MCTS,MCTS,SEMIRANDOM
137,,MCTS,MCTS,MCTS,SEMIRANDOM
138,,MCTS,MCTS,MCTS,SEMIRANDOM
139,,MCTS,MCTS,MCTS,SEMIRANDOM
140,,MCTS,MCTS,MCTS,SEMIRANDOM
141,,MCTS,MCTS,MCTS,SEMIRANDOM
142,,MCTS,MCTS,MCTS,SEMIRANDOM
143,,MCTS,MCTS,MCTS,SEMIRANDOM
144,,MCTS,MCTS,MCTS,SEMIRANDOM
145,,MCTS,MCTS,MCTS,SEMIRANDOM
146,3,MCTS,MCTS,MCTS,SEMIRANDOM
147,,MCTS,MCTS,MCTS,SEMIRANDOM
148,,MCTS,MCTS,MCTS,SEMIRANDOM
149,,MCTS,MCTS,MCTS,SEMIRANDOM
150,,MCTS,MCTS,MCTS,SEMIRANDOM
151,3,MCTS,MCTS,MCTS,SEMIRANDOM
152,0,MCTS,MCTS,MCTS,SEMIRANDOM
153,,MCTS,MCTS,MCTS,SEMIRANDOM
154,,MCTS,MCTS,MCTS,SEMIRANDOM
155,,MCTS,MCTS,MCTS,SEMIRANDOM
156,,MCTS,MCTS,MCTS,SEMIRANDOM
157,,MCTS,MCTS,MCTS,SEMIRANDOM
158,1,MCTS,MCTS,MCTS,SEMIRANDOM
159,2,MCTS,MCTS,MCTS,SEMIRANDOM
160,,MCTS,MCTS,MCTS,SEMIRANDOM
161,3,MCTS,MCTS,MCTS,SEMIRANDOM
162,,MCTS,MCTS,MCTS,SEMIRANDOM
163,,MCTS,MCTS,MCTS,SEMIRANDOM
164,,MCTS,MCTS,MCTS,SEMIRANDOM
165,,MCTS,MCTS,MCTS,SEMIRANDOM
166,,MCTS,MCTS,MCTS,SEMIRANDOM
167,,MCTS,MCTS,MCTS,SEMIRANDOM
168,0,MCTS,MCTS,MCTS,SEMIRANDOM
169,,MCTS,MCTS,MCTS,SEMIRANDOM
170,,MCTS,MCTS,MCTS,SEMIRANDOM
171,2,MCTS,MCTS,MCTS,SEMIRANDOM
172,,MCTS,MCTS,MCTS,SEMIRANDOM
173,,MCTS,MCTS,MCTS,SEMIRANDOM
174,3,MCTS,MCTS,MCTS,SEMIRANDOM
175,3,MCTS,MCTS,MCTS,SEMIRANDOM
176,3,MCTS,MCTS,MCTS,SEMIRANDOM
177,,MCTS,MCTS,MCTS,SEMIRANDOM
178,,MCTS,MCTS,MCTS,SEMIRANDOM
179,1,MCTS,MCTS,MCTS,SEMIRANDOM
180,3,MCTS,MCTS,MCTS,SEMIRANDOM
181,,MCTS,MCTS,MCTS,SEMIRANDOM
182,,MCTS,MCTS,MCTS,SEMIRANDOM
183,,MCTS,MCTS,MCTS,SEMIRANDOM
184,,MCTS,MCTS,MCTS,SEMIRANDOM
185,,MCTS,MCTS,MCTS,SEMIRANDOM
186,3,MCTS,MCTS,MCTS,SEMIRANDOM
187,0,MCTS,MCTS,MCTS,SEMIRANDOM
188,,MCTS,MCTS,MCTS,SEMIRANDOM
189,2,MCTS,MCTS,MCTS,SEMIRANDOM
190,,MCTS,MCTS,MCTS,SEMIRANDOM
191,,MCTS,MCTS,MCTS,SEMIRANDOM
192,,MCTS,MCTS,MCTS,SEMIRANDOM
193,,MCTS,MCTS,MCTS,SEMIRANDOM
194,,MCTS,MCTS,MCTS,SEMIRANDOM
195,,MCTS,MCTS,MCTS,SEMIRANDOM
196,0,MCTS,MCTS,MCTS,SEMIRANDOM
197,,MCTS,MCTS,MCTS,SEMIRANDOM
198,0,MCTS,MCTS,MCTS,SEMIRANDOM
199,,MCTS,MCTS,MCTS,SEMIRANDOM
200,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
201,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
202,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
203,3,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
204,3,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
205,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
206,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
207,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
208,3,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
209,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
210,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
211,1,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
212,2,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
213,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
214,0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
215,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
216,0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
217,3,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
218,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
219,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
220,3,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
221,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
222,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
223,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
224,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
225,2,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
226,0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
227,2,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
228,0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
229,0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
230,1,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
231,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
232,2,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
233,3,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
234,2,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
235,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
236,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
237,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
238,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
239,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
240,3,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
241,0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
242,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
243,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
244,1,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
245,3,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
246,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
247,2,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
248,0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
249,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
250,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
251,2,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
252,0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
253,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
254,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
255,3,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
256,2,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
257,2,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
258,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
259,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
260,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
261,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
