game,winning_player,player0,player1,player2,player3
0,,MCTS,MCTS,MCTS,RANDOM
1,,MCTS,MCTS,MCTS,RANDOM
2,,MCTS,MCTS,MCTS,RANDOM
3,,MCTS,MCTS,MCTS,RANDOM
4,2,MCTS,MCTS,MCTS,RANDOM
5,0,MCTS,MCTS,MCTS,RANDOM
6,,MCTS,MCTS,MCTS,RANDOM
7,,MCTS,MCTS,MCTS,RANDOM
8,2,MCTS,MCTS,MCTS,RANDOM
9,,MCTS,MCTS,MCTS,RANDOM
10,1,MCTS,MCTS,MCTS,RANDOM
11,,MCTS,MCTS,MCTS,RANDOM
12,,MCTS,MCTS,MCTS,RANDOM
13,,MCTS,MCTS,MCTS,RANDOM
14,,MCTS,MCTS,MCTS,RANDOM
15,3,MCTS,MCTS,MCTS,RANDOM
16,,MCTS,MCTS,MCTS,RANDOM
17,,MCTS,MCTS,MCTS,RANDOM
18,,MCTS,MCTS,MCTS,RANDOM
19,,MCTS,MCTS,MCTS,RANDOM
20,,MCTS,MCTS,MCTS,RANDOM
21,,MCTS,MCTS,MCTS,RANDOM
22,,MCTS,MCTS,MCTS,RANDOM
23,0,MCTS,MCTS,MCTS,RANDOM
24,,MCTS,MCTS,MCTS,RANDOM
25,,MCTS,MCTS,MCTS,RANDOM
26,,MCTS,MCTS,MCTS,RANDOM
27,,MCTS,MCTS,MCTS,RANDOM
28,,MCTS,MCTS,MCTS,RANDOM
29,,MCTS,MCTS,MCTS,RANDOM
30,1,MCTS,MCTS,MCTS,RANDOM
31,,MCTS,MCTS,MCTS,RANDOM
32,,MCTS,MCTS,MCTS,RANDOM
33,,MCTS,MCTS,MCTS,RANDOM
34,2,MCTS,MCTS,MCTS,RANDOM
35,,MCTS,MCTS,MCTS,RANDOM
36,3,MCTS,MCTS,MCTS,RANDOM
37,,MCTS,MCTS,MCTS,RANDOM
38,2,MCTS,MCTS,MCTS,RANDOM
39,1,MCTS,MCTS,MCTS,RANDOM
40,1,MCTS,MCTS,MCTS,RANDOM
41,,MCTS,MCTS,MCTS,RANDOM
42,,MCTS,MCTS,MCTS,RANDOM
43,2,MCTS,MCTS,MCTS,RANDOM
44,,MCTS,MCTS,MCTS,RANDOM
45,,MCTS,MCTS,MCTS,RANDOM
46,,MCTS,MCTS,MCTS,RANDOM
47,,MCTS,MCTS,MCTS,RANDOM
48,,MCTS,MCTS,MCTS,RANDOM
49,,MCTS,MCTS,MCTS,RANDOM
50,,MCTS,MCTS,MCTS,RANDOM
51,2,MCTS,MCTS,MCTS,RANDOM
52,,MCTS,MCTS,MCTS,RANDOM
53,,MCTS,MCTS,MCTS,RANDOM
54,1,MCTS,MCTS,MCTS,RANDOM
55,,MCTS,MCTS,MCTS,RANDOM
56,,MCTS,MCTS,MCTS,RANDOM
57,,MCTS,MCTS,MCTS,RANDOM
58,,MCTS,MCTS,MCTS,RANDOM
59,,MCTS,MCTS,MCTS,RANDOM
60,,MCTS,MCTS,MCTS,RANDOM
61,,MCTS,MCTS,MCTS,RANDOM
62,,MCTS,MCTS,MCTS,RANDOM
63,2,MCTS,MCTS,MCTS,RANDOM
64,,MCTS,MCTS,MCTS,RANDOM
65,2,MCTS,MCTS,MCTS,RANDOM
66,,MCTS,MCTS,MCTS,RANDOM
67,,MCTS,MCTS,MCTS,RANDOM
68,0,MCTS,MCTS,MCTS,RANDOM
69,,MCTS,MCTS,MCTS,RANDOM
70,,MCTS,MCTS,MCTS,RANDOM
71,3,MCTS,MCTS,MCTS,RANDOM
72,,MCTS,MCTS,MCTS,RANDOM
73,,MCTS,MCTS,MCTS,RANDOM
74,,MCTS,MCTS,MCTS,RANDOM
75,,MCTS,MCTS,MCTS,RANDOM
76,2,MCTS,MCTS,MCTS,RANDOM
77,,MCTS,MCTS,MCTS,RANDOM
