game,winning_player,player0,player1,player2,player3
0,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
1,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
2,,MCTS,MCTS,MCTS,SEMIRANDOM
3,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
4,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
5,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
6,,MCTS,MCTS,MCTS,SEMIRANDOM
7,,MCTS,MCTS,MCTS,SEMIRANDOM
8,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
9,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
10,,MCTS,MCTS,MCTS,SEMIRANDOM
11,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
12,,MCTS,MCTS,MCTS,SEMIRANDOM
13,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
14,,MCTS,MCTS,MCTS,SEMIRANDOM
15,,MCTS,MCTS,MCTS,SEMIRANDOM
16,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
17,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
18,,MCTS,MCTS,MCTS,SEMIRANDOM
19,,MCTS,MCTS,MCTS,SEMIRANDOM
20,,MCTS,MCTS,MCTS,SEMIRANDOM
21,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
22,,MCTS,MCTS,MCTS,SEMIRANDOM
23,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
24,,MCTS,MCTS,MCTS,SEMIRANDOM
25,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
26,,MCTS,MCTS,MCTS,SEMIRANDOM
27,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
28,,MCTS,MCTS,MCTS,SEMIRANDOM
29,,MCTS,MCTS,MCTS,SEMIRANDOM
30,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
31,,MCTS,MCTS,MCTS,SEMIRANDOM
32,,MCTS,MCTS,MCTS,SEMIRANDOM
33,,MCTS,MCTS,MCTS,SEMIRANDOM
34,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
35,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
36,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
37,,MCTS,MCTS,MCTS,SEMIRANDOM
38,,MCTS,MCTS,MCTS,SEMIRANDOM
39,,MCTS,MCTS,MCTS,SEMIRANDOM
40,,MCTS,MCTS,MCTS,SEMIRANDOM
41,,MCTS,MCTS,MCTS,SEMIRANDOM
42,,MCTS,MCTS,MCTS,SEMIRANDOM
43,,MCTS,MCTS,MCTS,SEMIRANDOM
44,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
45,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
46,,MCTS,MCTS,MCTS,SEMIRANDOM
47,,MCTS,MCTS,MCTS,SEMIRANDOM
48,,MCTS,MCTS,MCTS,SEMIRANDOM
49,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
50,,MCTS,MCTS,MCTS,SEMIRANDOM
51,,MCTS,MCTS,MCTS,SEMIRANDOM
52,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
53,,MCTS,MCTS,MCTS,SEMIRANDOM
54,,MCTS,MCTS,MCTS,SEMIRANDOM
55,,MCTS,MCTS,MCTS,SEMIRANDOM
56,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
57,,MCTS,MCTS,MCTS,SEMIRANDOM
58,,MCTS,MCTS,MCTS,SEMIRANDOM
59,,MCTS,MCTS,MCTS,SEMIRANDOM
60,,MCTS,MCTS,MCTS,SEMIRANDOM
61,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
62,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
63,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
64,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
65,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
66,,MCTS,MCTS,MCTS,SEMIRANDOM
67,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
68,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
69,,MCTS,MCTS,MCTS,SEMIRANDOM
70,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
71,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
72,,MCTS,MCTS,MCTS,SEMIRANDOM
73,,MCTS,MCTS,MCTS,SEMIRANDOM
74,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
75,,MCTS,MCTS,MCTS,SEMIRANDOM
76,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
77,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
78,,MCTS,MCTS,MCTS,SEMIRANDOM
79,,MCTS,MCTS,MCTS,SEMIRANDOM
80,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
81,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
82,,MCTS,MCTS,MCTS,SEMIRANDOM
83,,MCTS,MCTS,MCTS,SEMIRANDOM
84,,MCTS,MCTS,MCTS,SEMIRANDOM
85,,MCTS,MCTS,MCTS,SEMIRANDOM
86,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
87,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
88,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
89,,MCTS,MCTS,MCTS,SEMIRANDOM
90,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
91,,MCTS,MCTS,MCTS,SEMIRANDOM
92,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
93,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
94,,MCTS,MCTS,MCTS,SEMIRANDOM
95,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
96,,MCTS,MCTS,MCTS,SEMIRANDOM
97,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
98,,MCTS,MCTS,MCTS,SEMIRANDOM
99,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
100,,MCTS,MCTS,MCTS,SEMIRANDOM
101,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
102,,MCTS,MCTS,MCTS,SEMIRANDOM
103,,MCTS,MCTS,MCTS,SEMIRANDOM
104,,MCTS,MCTS,MCTS,SEMIRANDOM
105,,MCTS,MCTS,MCTS,SEMIRANDOM
106,,MCTS,MCTS,MCTS,SEMIRANDOM
107,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
108,,MCTS,MCTS,MCTS,SEMIRANDOM
109,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
110,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
111,,MCTS,MCTS,MCTS,SEMIRANDOM
112,,MCTS,MCTS,MCTS,SEMIRANDOM
113,,MCTS,MCTS,MCTS,SEMIRANDOM
114,,MCTS,MCTS,MCTS,SEMIRANDOM
115,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
116,,MCTS,MCTS,MCTS,SEMIRANDOM
117,,MCTS,MCTS,MCTS,SEMIRANDOM
118,,MCTS,MCTS,MCTS,SEMIRANDOM
119,,MCTS,MCTS,MCTS,SEMIRANDOM
120,,MCTS,MCTS,MCTS,SEMIRANDOM
121,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
122,,MCTS,MCTS,MCTS,SEMIRANDOM
123,,MCTS,MCTS,MCTS,SEMIRANDOM
124,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
125,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
126,,MCTS,MCTS,MCTS,SEMIRANDOM
127,,MCTS,MCTS,MCTS,SEMIRANDOM
128,,MCTS,MCTS,MCTS,SEMIRANDOM
129,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
130,,MCTS,MCTS,MCTS,SEMIRANDOM
131,,MCTS,MCTS,MCTS,SEMIRANDOM
132,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
133,,MCTS,MCTS,MCTS,SEMIRANDOM
134,,MCTS,MCTS,MCTS,SEMIRANDOM
135,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
136,,MCTS,MCTS,MCTS,SEMIRANDOM
137,,MCTS,MCTS,MCTS,SEMIRANDOM
138,,MCTS,MCTS,MCTS,SEMIRANDOM
139,,MCTS,MCTS,MCTS,SEMIRANDOM
140,,MCTS,MCTS,MCTS,SEMIRANDOM
141,,MCTS,MCTS,MCTS,SEMIRANDOM
142,,MCTS,MCTS,MCTS,SEMIRANDOM
143,,MCTS,MCTS,MCTS,SEMIRANDOM
144,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
145,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
146,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
147,,MCTS,MCTS,MCTS,SEMIRANDOM
148,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
149,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
150,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
151,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
152,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
153,,MCTS,MCTS,MCTS,SEMIRANDOM
154,,MCTS,MCTS,MCTS,SEMIRANDOM
155,,MCTS,MCTS,MCTS,SEMIRANDOM
156,,MCTS,MCTS,MCTS,SEMIRANDOM
157,,MCTS,MCTS,MCTS,SEMIRANDOM
158,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
159,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
160,,MCTS,MCTS,MCTS,SEMIRANDOM
161,,MCTS,MCTS,MCTS,SEMIRANDOM
162,,MCTS,MCTS,MCTS,SEMIRANDOM
163,,MCTS,MCTS,MCTS,SEMIRANDOM
164,,MCTS,MCTS,MCTS,SEMIRANDOM
165,,MCTS,MCTS,MCTS,SEMIRANDOM
166,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
167,,MCTS,MCTS,MCTS,SEMIRANDOM
168,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
169,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
170,,MCTS,MCTS,MCTS,SEMIRANDOM
171,,MCTS,MCTS,MCTS,SEMIRANDOM
172,,MCTS,MCTS,MCTS,SEMIRANDOM
173,,MCTS,MCTS,MCTS,SEMIRANDOM
174,,MCTS,MCTS,MCTS,SEMIRANDOM
175,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
176,,MCTS,MCTS,MCTS,SEMIRANDOM
177,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
178,,MCTS,MCTS,MCTS,SEMIRANDOM
179,,MCTS,MCTS,MCTS,SEMIRANDOM
180,,MCTS,MCTS,MCTS,SEMIRANDOM
181,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
182,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
183,,MCTS,MCTS,MCTS,SEMIRANDOM
184,,MCTS,MCTS,MCTS,SEMIRANDOM
185,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
186,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
187,,MCTS,MCTS,MCTS,SEMIRANDOM
188,,MCTS,MCTS,MCTS,SEMIRANDOM
189,,MCTS,MCTS,MCTS,SEMIRANDOM
190,,MCTS,MCTS,MCTS,SEMIRANDOM
191,,MCTS,MCTS,MCTS,SEMIRANDOM
192,,MCTS,MCTS,MCTS,SEMIRANDOM
193,,MCTS,MCTS,MCTS,SEMIRANDOM
194,,MCTS,MCTS,MCTS,SEMIRANDOM
195,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
196,,MCTS,MCTS,MCTS,SEMIRANDOM
197,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
198,,MCTS,MCTS,MCTS,SEMIRANDOM
199,,MCTS,MCTS,MCTS,SEMIRANDOM
200,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
201,,MCTS,MCTS,MCTS,SEMIRANDOM
202,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
203,,MCTS,MCTS,MCTS,SEMIRANDOM
204,,MCTS,MCTS,MCTS,SEMIRANDOM
205,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
206,,MCTS,MCTS,MCTS,SEMIRANDOM
207,,MCTS,MCTS,MCTS,SEMIRANDOM
208,,MCTS,MCTS,MCTS,SEMIRANDOM
209,,MCTS,MCTS,MCTS,SEMIRANDOM
210,,MCTS,MCTS,MCTS,SEMIRANDOM
211,,MCTS,MCTS,MCTS,SEMIRANDOM
212,,MCTS,MCTS,MCTS,SEMIRANDOM
213,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
214,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
215,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
216,,MCTS,MCTS,MCTS,SEMIRANDOM
217,,MCTS,MCTS,MCTS,SEMIRANDOM
218,,MCTS,MCTS,MCTS,SEMIRANDOM
219,,MCTS,MCTS,MCTS,SEMIRANDOM
220,,MCTS,MCTS,MCTS,SEMIRANDOM
221,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
222,,MCTS,MCTS,MCTS,SEMIRANDOM
223,,MCTS,MCTS,MCTS,SEMIRANDOM
224,,MCTS,MCTS,MCTS,SEMIRANDOM
225,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
226,,MCTS,MCTS,MCTS,SEMIRANDOM
227,,MCTS,MCTS,MCTS,SEMIRANDOM
228,,MCTS,MCTS,MCTS,SEMIRANDOM
229,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
230,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
231,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
232,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
233,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
234,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
235,,MCTS,MCTS,MCTS,SEMIRANDOM
236,,MCTS,MCTS,MCTS,SEMIRANDOM
237,,MCTS,MCTS,MCTS,SEMIRANDOM
238,,MCTS,MCTS,MCTS,SEMIRANDOM
239,,MCTS,MCTS,MCTS,SEMIRANDOM
240,,MCTS,MCTS,MCTS,SEMIRANDOM
241,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
242,,MCTS,MCTS,MCTS,SEMIRANDOM
243,,MCTS,MCTS,MCTS,SEMIRANDOM
244,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
245,2.0,MCTS,MCTS,MCTS,SEMIRANDOM
246,,MCTS,MCTS,MCTS,SEMIRANDOM
247,,MCTS,MCTS,MCTS,SEMIRANDOM
248,,MCTS,MCTS,MCTS,SEMIRANDOM
249,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
250,,MCTS,MCTS,MCTS,SEMIRANDOM
251,,MCTS,MCTS,MCTS,SEMIRANDOM
252,,MCTS,MCTS,MCTS,SEMIRANDOM
253,,MCTS,MCTS,MCTS,SEMIRANDOM
254,,MCTS,MCTS,MCTS,SEMIRANDOM
255,,MCTS,MCTS,MCTS,SEMIRANDOM
256,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
257,,MCTS,MCTS,MCTS,SEMIRANDOM
258,,MCTS,MCTS,MCTS,SEMIRANDOM
259,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
260,,MCTS,MCTS,MCTS,SEMIRANDOM
261,,MCTS,MCTS,MCTS,SEMIRANDOM
262,,MCTS,MCTS,MCTS,SEMIRANDOM
263,,MCTS,MCTS,MCTS,SEMIRANDOM
264,,MCTS,MCTS,MCTS,SEMIRANDOM
265,,MCTS,MCTS,MCTS,SEMIRANDOM
266,,MCTS,MCTS,MCTS,SEMIRANDOM
267,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
268,,MCTS,MCTS,MCTS,SEMIRANDOM
269,,MCTS,MCTS,MCTS,SEMIRANDOM
270,,MCTS,MCTS,MCTS,SEMIRANDOM
271,,MCTS,MCTS,MCTS,SEMIRANDOM
272,,MCTS,MCTS,MCTS,SEMIRANDOM
273,,MCTS,MCTS,MCTS,SEMIRANDOM
274,,MCTS,MCTS,MCTS,SEMIRANDOM
275,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
276,,MCTS,MCTS,MCTS,SEMIRANDOM
277,,MCTS,MCTS,MCTS,SEMIRANDOM
278,,MCTS,MCTS,MCTS,SEMIRANDOM
279,3.0,MCTS,MCTS,MCTS,SEMIRANDOM
280,,MCTS,MCTS,MCTS,SEMIRANDOM
281,,MCTS,MCTS,MCTS,SEMIRANDOM
282,,MCTS,MCTS,MCTS,SEMIRANDOM
283,,MCTS,MCTS,MCTS,SEMIRANDOM
284,,MCTS,MCTS,MCTS,SEMIRANDOM
285,,MCTS,MCTS,MCTS,SEMIRANDOM
286,,MCTS,MCTS,MCTS,SEMIRANDOM
287,,MCTS,MCTS,MCTS,SEMIRANDOM
288,,MCTS,MCTS,MCTS,SEMIRANDOM
289,0.0,MCTS,MCTS,MCTS,SEMIRANDOM
290,,MCTS,MCTS,MCTS,SEMIRANDOM
291,,MCTS,MCTS,MCTS,SEMIRANDOM
292,,MCTS,MCTS,MCTS,SEMIRANDOM
293,1.0,MCTS,MCTS,MCTS,SEMIRANDOM
