game,winning_player,player0,player1,player2,player3
0,,MCTS,MCTS,RANDOM,RANDOM
1,,MCTS,MCTS,RANDOM,RANDOM
2,,MCTS,MCTS,RANDOM,RANDOM
3,,MCTS,MCTS,RANDOM,RANDOM
4,,MCTS,MCTS,RANDOM,RANDOM
5,,MCTS,MCTS,RANDOM,RANDOM
6,,MCTS,MCTS,RANDOM,RANDOM
7,,MCTS,MCTS,RANDOM,RANDOM
8,,MCTS,MCTS,RANDOM,RANDOM
9,,MCTS,MCTS,RANDOM,RANDOM
10,,MCTS,MCTS,RANDOM,RANDOM
11,3,MCTS,MCTS,RANDOM,RANDOM
12,,MCTS,MCTS,RANDOM,RANDOM
13,,MCTS,MCTS,RANDOM,RANDOM
14,,MCTS,MCTS,RANDOM,RANDOM
15,0,MCTS,MCTS,RANDOM,RANDOM
16,,MCTS,MCTS,RANDOM,RANDOM
17,,MCTS,MCTS,RANDOM,RANDOM
18,,MCTS,MCTS,RANDOM,RANDOM
19,2,MCTS,MCTS,RANDOM,RANDOM
20,,MCTS,MCTS,RANDOM,RANDOM
21,2,MCTS,MCTS,RANDOM,RANDOM
22,,MCTS,MCTS,RANDOM,RANDOM
23,,MCTS,MCTS,RANDOM,RANDOM
24,,MCTS,MCTS,RANDOM,RANDOM
25,0,MCTS,MCTS,RANDOM,RANDOM
26,1,MCTS,MCTS,RANDOM,RANDOM
27,0,MCTS,MCTS,RANDOM,RANDOM
28,,MCTS,MCTS,RANDOM,RANDOM
29,,MCTS,MCTS,RANDOM,RANDOM
30,,MCTS,MCTS,RANDOM,RANDOM
31,,MCTS,MCTS,RANDOM,RANDOM
32,,MCTS,MCTS,RANDOM,RANDOM
33,,MCTS,MCTS,RANDOM,RANDOM
34,3,MCTS,MCTS,RANDOM,RANDOM
35,1,MCTS,MCTS,RANDOM,RANDOM
36,,MCTS,MCTS,RANDOM,RANDOM
37,,MCTS,MCTS,RANDOM,RANDOM
38,3,MCTS,MCTS,RANDOM,RANDOM
39,0,MCTS,MCTS,RANDOM,RANDOM
40,,MCTS,MCTS,RANDOM,RANDOM
41,,MCTS,MCTS,RANDOM,RANDOM
42,,MCTS,MCTS,RANDOM,RANDOM
43,0,MCTS,MCTS,RANDOM,RANDOM
44,,MCTS,MCTS,RANDOM,RANDOM
45,,MCTS,MCTS,RANDOM,RANDOM
46,,MCTS,MCTS,RANDOM,RANDOM
47,,MCTS,MCTS,RANDOM,RANDOM
48,,MCTS,MCTS,RANDOM,RANDOM
49,,MCTS,MCTS,RANDOM,RANDOM
50,3,MCTS,MCTS,RANDOM,RANDOM
51,3,MCTS,MCTS,RANDOM,RANDOM
52,2,MCTS,MCTS,RANDOM,RANDOM
53,2,MCTS,MCTS,RANDOM,RANDOM
54,,MCTS,MCTS,RANDOM,RANDOM
55,,MCTS,MCTS,RANDOM,RANDOM
56,,MCTS,MCTS,RANDOM,RANDOM
57,,MCTS,MCTS,RANDOM,RANDOM
58,1,MCTS,MCTS,RANDOM,RANDOM
59,,MCTS,MCTS,RANDOM,RANDOM
60,,MCTS,MCTS,RANDOM,RANDOM
61,,MCTS,MCTS,RANDOM,RANDOM
62,2,MCTS,MCTS,RANDOM,RANDOM
63,,MCTS,MCTS,RANDOM,RANDOM
64,,MCTS,MCTS,RANDOM,RANDOM
65,2,MCTS,MCTS,RANDOM,RANDOM
66,1,MCTS,MCTS,RANDOM,RANDOM
67,,MCTS,MCTS,RANDOM,RANDOM
68,,MCTS,MCTS,RANDOM,RANDOM
69,,MCTS,MCTS,RANDOM,RANDOM
70,,MCTS,MCTS,RANDOM,RANDOM
71,0,MCTS,MCTS,RANDOM,RANDOM
72,,MCTS,MCTS,RANDOM,RANDOM
73,0,MCTS,MCTS,RANDOM,RANDOM
74,1,MCTS,MCTS,RANDOM,RANDOM
75,,MCTS,MCTS,RANDOM,RANDOM
76,,MCTS,MCTS,RANDOM,RANDOM
77,2,MCTS,MCTS,RANDOM,RANDOM
78,2,MCTS,MCTS,RANDOM,RANDOM
79,2,MCTS,MCTS,RANDOM,RANDOM
80,1,MCTS,MCTS,RANDOM,RANDOM
81,2,MCTS,MCTS,RANDOM,RANDOM
82,,MCTS,MCTS,RANDOM,RANDOM
83,,MCTS,MCTS,RANDOM,RANDOM
84,,MCTS,MCTS,RANDOM,RANDOM
85,,MCTS,MCTS,RANDOM,RANDOM
86,,MCTS,MCTS,RANDOM,RANDOM
87,,MCTS,MCTS,RANDOM,RANDOM
88,,MCTS,MCTS,RANDOM,RANDOM
89,1,MCTS,MCTS,RANDOM,RANDOM
90,,MCTS,MCTS,RANDOM,RANDOM
91,1,MCTS,MCTS,RANDOM,RANDOM
92,2,MCTS,MCTS,RANDOM,RANDOM
93,3,MCTS,MCTS,RANDOM,RANDOM
94,,MCTS,MCTS,RANDOM,RANDOM
95,1,MCTS,MCTS,RANDOM,RANDOM
96,3,MCTS,MCTS,RANDOM,RANDOM
97,1,MCTS,MCTS,RANDOM,RANDOM
98,,MCTS,MCTS,RANDOM,RANDOM
99,1,MCTS,MCTS,RANDOM,RANDOM
100,0,MCTS,MCTS,RANDOM,RANDOM
101,,MCTS,MCTS,RANDOM,RANDOM
102,,MCTS,MCTS,RANDOM,RANDOM
103,,MCTS,MCTS,RANDOM,RANDOM
104,,MCTS,MCTS,RANDOM,RANDOM
105,,MCTS,MCTS,RANDOM,RANDOM
