game,winning_player,player0,player1,player2,player3
0,,MCTS,RANDOM,RANDOM,RANDOM
1,,MCTS,RANDOM,RANDOM,RANDOM
2,,MCTS,RANDOM,RANDOM,RANDOM
3,2,MCTS,RANDOM,RANDOM,RANDOM
4,,MCTS,RANDOM,RANDOM,RANDOM
5,1,MCTS,RANDOM,RANDOM,RANDOM
6,,MCTS,RANDOM,RANDOM,RANDOM
7,,MCTS,RANDOM,RANDOM,RANDOM
8,,MCTS,RANDOM,RANDOM,RANDOM
9,0,MCTS,RANDOM,RANDOM,RANDOM
10,,MCTS,RANDOM,RANDOM,RANDOM
11,,MCTS,RANDOM,RANDOM,RANDOM
12,,MCTS,RANDOM,RANDOM,RANDOM
13,,MCTS,RANDOM,RANDOM,RANDOM
14,,MCTS,RANDOM,RANDOM,RANDOM
15,,MCTS,RANDOM,RANDOM,RANDOM
16,,MCTS,RANDOM,RANDOM,RANDOM
17,0,MCTS,RANDOM,RANDOM,RANDOM
18,,MCTS,RANDOM,RANDOM,RANDOM
19,,MCTS,RANDOM,RANDOM,RANDOM
20,,MCTS,RANDOM,RANDOM,RANDOM
21,,MCTS,RANDOM,RANDOM,RANDOM
22,2,MCTS,RANDOM,RANDOM,RANDOM
23,,MCTS,RANDOM,RANDOM,RANDOM
24,0,MCTS,RANDOM,RANDOM,RANDOM
