game,winning_player,player0,player1,player2,player3
0,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
1,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
2,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
3,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
4,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
5,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
6,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
7,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
8,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
9,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
10,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
11,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
12,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
13,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
14,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
15,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
16,3.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
17,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
18,3.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
19,0.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
20,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
21,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
22,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
23,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
24,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
25,0.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
26,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
27,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
28,3.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
29,0.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
30,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
31,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
32,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
33,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
34,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
35,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
36,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
37,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
38,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
39,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
40,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
41,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
42,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
43,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
44,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
45,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
46,0.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
47,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
48,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
49,0.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
50,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
51,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
52,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
53,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
54,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
55,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
56,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
57,3.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
58,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
59,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
60,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
61,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
62,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
63,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
64,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
65,0.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
66,0.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
67,0.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
68,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
69,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
70,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
71,3.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
72,3.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
73,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
74,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
75,2.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
76,1.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
77,3.0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
