game,winning_player,player0,player1,player2,player3
0,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
1,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
2,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
3,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
4,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
5,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
6,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
7,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
8,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
9,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
10,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
11,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
12,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
13,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
14,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
15,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
16,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
17,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
18,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
19,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
20,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
21,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
22,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
23,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
24,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
25,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
26,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
27,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
28,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
29,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
30,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
31,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
32,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
33,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
34,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
35,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
36,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
37,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
38,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
39,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
40,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
41,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
42,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
43,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
44,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
45,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
46,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
47,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
48,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
49,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
50,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
51,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
52,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
53,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
54,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
55,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
56,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
57,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
58,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
59,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
60,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
61,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
62,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
63,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
64,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
65,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
66,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
67,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
68,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
69,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
70,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
71,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
72,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
73,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
74,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
75,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
76,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
77,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
78,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
79,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
80,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
81,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
82,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
83,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
84,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
85,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
86,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
87,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
88,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
89,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
90,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
91,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
92,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
93,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
94,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
95,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
96,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
97,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
98,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
99,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
100,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
101,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
102,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
103,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
104,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
105,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
106,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
107,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
108,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
109,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
110,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
111,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
112,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
113,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
114,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
115,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
116,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
117,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
118,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
119,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
120,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
121,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
122,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
123,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
124,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
125,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
126,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
127,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
128,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
129,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
130,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
131,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
132,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
133,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
134,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
135,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
136,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
137,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
138,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
139,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
140,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
141,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
142,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
143,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
144,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
145,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
146,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
147,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
148,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
149,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
150,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
151,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
152,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
153,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
154,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
155,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
156,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
157,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
158,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
159,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
160,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
161,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
162,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
163,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
164,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
165,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
166,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
167,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
168,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
169,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
170,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
171,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
172,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
173,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
174,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
175,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
176,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
177,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
178,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
179,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
180,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
181,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
182,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
183,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
184,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
185,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
186,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
187,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
188,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
189,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
190,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
191,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
192,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
193,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
194,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
