game,winning_player,player0,player1,player2,player3
0,,RANDOM,RANDOM,RANDOM,RANDOM
1,,RANDOM,RANDOM,RANDOM,RANDOM
2,,RANDOM,RANDOM,RANDOM,RANDOM
3,,RANDOM,RANDOM,RANDOM,RANDOM
4,3.0,RANDOM,RANDOM,RANDOM,RANDOM
5,2.0,RANDOM,RANDOM,RANDOM,RANDOM
6,1.0,RANDOM,RANDOM,RANDOM,RANDOM
7,2.0,RANDOM,RANDOM,RANDOM,RANDOM
8,2.0,RANDOM,RANDOM,RANDOM,RANDOM
9,3.0,RANDOM,RANDOM,RANDOM,RANDOM
10,,RANDOM,RANDOM,RANDOM,RANDOM
11,,RANDOM,RANDOM,RANDOM,RANDOM
12,2.0,RANDOM,RANDOM,RANDOM,RANDOM
13,2.0,RANDOM,RANDOM,RANDOM,RANDOM
14,2.0,RANDOM,RANDOM,RANDOM,RANDOM
15,,RANDOM,RANDOM,RANDOM,RANDOM
16,,RANDOM,RANDOM,RANDOM,RANDOM
17,,RANDOM,RANDOM,RANDOM,RANDOM
18,,RANDOM,RANDOM,RANDOM,RANDOM
19,1.0,RANDOM,RANDOM,RANDOM,RANDOM
20,0.0,RANDOM,RANDOM,RANDOM,RANDOM
21,,RANDOM,RANDOM,RANDOM,RANDOM
22,,RANDOM,RANDOM,RANDOM,RANDOM
23,,RANDOM,RANDOM,RANDOM,RANDOM
24,3.0,RANDOM,RANDOM,RANDOM,RANDOM
25,3.0,RANDOM,RANDOM,RANDOM,RANDOM
26,1.0,RANDOM,RANDOM,RANDOM,RANDOM
27,0.0,RANDOM,RANDOM,RANDOM,RANDOM
28,2.0,RANDOM,RANDOM,RANDOM,RANDOM
29,2.0,RANDOM,RANDOM,RANDOM,RANDOM
30,2.0,RANDOM,RANDOM,RANDOM,RANDOM
31,1.0,RANDOM,RANDOM,RANDOM,RANDOM
32,3.0,RANDOM,RANDOM,RANDOM,RANDOM
33,0.0,RANDOM,RANDOM,RANDOM,RANDOM
34,3.0,RANDOM,RANDOM,RANDOM,RANDOM
35,,RANDOM,RANDOM,RANDOM,RANDOM
36,0.0,RANDOM,RANDOM,RANDOM,RANDOM
37,,RANDOM,RANDOM,RANDOM,RANDOM
38,0.0,RANDOM,RANDOM,RANDOM,RANDOM
39,3.0,RANDOM,RANDOM,RANDOM,RANDOM
40,2.0,RANDOM,RANDOM,RANDOM,RANDOM
41,1.0,RANDOM,RANDOM,RANDOM,RANDOM
42,2.0,RANDOM,RANDOM,RANDOM,RANDOM
43,,RANDOM,RANDOM,RANDOM,RANDOM
44,,RANDOM,RANDOM,RANDOM,RANDOM
45,,RANDOM,RANDOM,RANDOM,RANDOM
46,,RANDOM,RANDOM,RANDOM,RANDOM
47,,RANDOM,RANDOM,RANDOM,RANDOM
48,0.0,RANDOM,RANDOM,RANDOM,RANDOM
49,1.0,RANDOM,RANDOM,RANDOM,RANDOM
50,,RANDOM,RANDOM,RANDOM,RANDOM
51,,RANDOM,RANDOM,RANDOM,RANDOM
52,,RANDOM,RANDOM,RANDOM,RANDOM
53,,RANDOM,RANDOM,RANDOM,RANDOM
54,1.0,RANDOM,RANDOM,RANDOM,RANDOM
55,,RANDOM,RANDOM,RANDOM,RANDOM
56,,RANDOM,RANDOM,RANDOM,RANDOM
57,,RANDOM,RANDOM,RANDOM,RANDOM
58,2.0,RANDOM,RANDOM,RANDOM,RANDOM
59,1.0,RANDOM,RANDOM,RANDOM,RANDOM
60,,RANDOM,RANDOM,RANDOM,RANDOM
61,,RANDOM,RANDOM,RANDOM,RANDOM
62,,RANDOM,RANDOM,RANDOM,RANDOM
63,1.0,RANDOM,RANDOM,RANDOM,RANDOM
64,2.0,RANDOM,RANDOM,RANDOM,RANDOM
65,,RANDOM,RANDOM,RANDOM,RANDOM
66,,RANDOM,RANDOM,RANDOM,RANDOM
67,2.0,RANDOM,RANDOM,RANDOM,RANDOM
68,,RANDOM,RANDOM,RANDOM,RANDOM
69,3.0,RANDOM,RANDOM,RANDOM,RANDOM
70,,RANDOM,RANDOM,RANDOM,RANDOM
71,,RANDOM,RANDOM,RANDOM,RANDOM
72,,RANDOM,RANDOM,RANDOM,RANDOM
73,,RANDOM,RANDOM,RANDOM,RANDOM
74,,RANDOM,RANDOM,RANDOM,RANDOM
75,,RANDOM,RANDOM,RANDOM,RANDOM
76,0.0,RANDOM,RANDOM,RANDOM,RANDOM
77,2.0,RANDOM,RANDOM,RANDOM,RANDOM
78,3.0,RANDOM,RANDOM,RANDOM,RANDOM
79,,RANDOM,RANDOM,RANDOM,RANDOM
80,,RANDOM,RANDOM,RANDOM,RANDOM
81,0.0,RANDOM,RANDOM,RANDOM,RANDOM
82,,RANDOM,RANDOM,RANDOM,RANDOM
83,0.0,RANDOM,RANDOM,RANDOM,RANDOM
84,0.0,RANDOM,RANDOM,RANDOM,RANDOM
85,,RANDOM,RANDOM,RANDOM,RANDOM
86,1.0,RANDOM,RANDOM,RANDOM,RANDOM
87,1.0,RANDOM,RANDOM,RANDOM,RANDOM
88,,RANDOM,RANDOM,RANDOM,RANDOM
89,3.0,RANDOM,RANDOM,RANDOM,RANDOM
90,0.0,RANDOM,RANDOM,RANDOM,RANDOM
91,3.0,RANDOM,RANDOM,RANDOM,RANDOM
92,1.0,RANDOM,RANDOM,RANDOM,RANDOM
93,2.0,RANDOM,RANDOM,RANDOM,RANDOM
94,1.0,RANDOM,RANDOM,RANDOM,RANDOM
95,0.0,RANDOM,RANDOM,RANDOM,RANDOM
96,1.0,RANDOM,RANDOM,RANDOM,RANDOM
97,1.0,RANDOM,RANDOM,RANDOM,RANDOM
98,3.0,RANDOM,RANDOM,RANDOM,RANDOM
99,1.0,RANDOM,RANDOM,RANDOM,RANDOM
