game,winning_player,player0,player1,player2,player3
0,2,RANDOM,RANDOM,RANDOM,RANDOM
1,3,RANDOM,RANDOM,RANDOM,SEMIRANDOM
2,,RANDOM,RANDOM,RANDOM,MCTS
3,2,RANDOM,RANDOM,SEMIRANDOM,SEMIRANDOM
4,,RANDOM,RANDOM,SEMIRANDOM,MCTS
5,,RANDOM,RANDOM,MCTS,MCTS
6,,RANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
7,,RANDOM,SEMIRANDOM,SEMIRANDOM,MCTS
8,2,RANDOM,SEMIRANDOM,MCTS,MCTS
9,,RANDOM,MCTS,MCTS,MCTS
10,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
11,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,MCTS
12,1,SEMIRANDOM,SEMIRANDOM,MCTS,MCTS
13,,SEMIRANDOM,MCTS,MCTS,MCTS
14,2,MCTS,MCTS,MCTS,MCTS
