game,winning_player,player0,player1,player2,player3
0,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
1,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
2,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
3,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
4,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
5,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
6,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
7,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
8,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
9,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
10,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
11,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
12,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
13,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
14,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
15,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
16,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
17,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
18,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
19,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
20,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
21,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
22,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
23,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
24,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
25,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
26,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
27,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
28,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
29,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
30,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
31,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
32,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
33,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
34,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
35,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
36,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
37,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
38,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
39,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
40,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
41,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
