game,winning_player,player0,player1,player2,player3
0,2,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
1,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
2,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
3,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
4,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
5,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
6,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
7,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
8,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
9,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
10,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
11,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
12,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
13,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
14,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
15,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
16,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
17,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
18,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
19,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
20,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
21,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
22,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
23,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
24,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
25,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
26,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
27,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
28,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
29,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
30,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
31,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
32,,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
33,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
34,1,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
35,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
36,0,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
37,3,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
