game,winning_player,player0,player1,player2,player3
0,,MCTS,MCTS,HANDSCORE,HANDSCORE
1,,MCTS,MCTS,HANDSCORE,HANDSCORE
2,,MCTS,MCTS,HANDSCORE,HANDSCORE
3,,MCTS,MCTS,HANDSCORE,HANDSCORE
4,,MCTS,MCTS,HANDSCORE,HANDSCORE
5,,MCTS,MCTS,HANDSCORE,HANDSCORE
6,,MCTS,MCTS,HANDSCORE,HANDSCORE
7,,MCTS,MCTS,HANDSCORE,HANDSCORE
8,1,MCTS,MCTS,HANDSCORE,HANDSCORE
9,0,MCTS,MCTS,HANDSCORE,HANDSCORE
10,0,MCTS,MCTS,HANDSCORE,HANDSCORE
11,0,MCTS,MCTS,HANDSCORE,HANDSCORE
12,3,MCTS,MCTS,HANDSCORE,HANDSCORE
13,2,MCTS,MCTS,HANDSCORE,HANDSCORE
