game,winning_player,player0,player1,player2,player3
0,,MCTS,MCTS,MCTS,HANDSCORE
1,0,MCTS,MCTS,MCTS,HANDSCORE
2,,MCTS,MCTS,MCTS,HANDSCORE
3,,MCTS,MCTS,MCTS,HANDSCORE
4,,MCTS,MCTS,MCTS,HANDSCORE
5,,MCTS,MCTS,MCTS,HANDSCORE
6,,MCTS,MCTS,MCTS,HANDSCORE
7,,MCTS,MCTS,MCTS,HANDSCORE
8,,MCTS,MCTS,MCTS,HANDSCORE
9,,MCTS,MCTS,MCTS,HANDSCORE
10,0,MCTS,MCTS,MCTS,HANDSCORE
11,,MCTS,MCTS,MCTS,HANDSCORE
12,,MCTS,MCTS,MCTS,HANDSCORE
13,,MCTS,MCTS,MCTS,HANDSCORE
14,,MCTS,MCTS,MCTS,HANDSCORE
15,,MCTS,MCTS,MCTS,HANDSCORE
16,,MCTS,MCTS,MCTS,HANDSCORE
17,,MCTS,MCTS,MCTS,HANDSCORE
18,,MCTS,MCTS,MCTS,HANDSCORE
19,,MCTS,MCTS,MCTS,HANDSCORE
20,,MCTS,MCTS,MCTS,HANDSCORE
21,,MCTS,MCTS,MCTS,HANDSCORE
22,,MCTS,MCTS,MCTS,HANDSCORE
23,,MCTS,MCTS,MCTS,HANDSCORE
24,,MCTS,MCTS,MCTS,HANDSCORE
25,,MCTS,MCTS,MCTS,HANDSCORE
26,,MCTS,MCTS,MCTS,HANDSCORE
27,,MCTS,MCTS,MCTS,HANDSCORE
28,2,MCTS,MCTS,MCTS,HANDSCORE
29,,MCTS,MCTS,MCTS,HANDSCORE
30,,MCTS,MCTS,MCTS,HANDSCORE
31,,MCTS,MCTS,MCTS,HANDSCORE
32,,MCTS,MCTS,MCTS,HANDSCORE
33,,MCTS,MCTS,MCTS,HANDSCORE
34,,MCTS,MCTS,MCTS,HANDSCORE
35,,MCTS,MCTS,MCTS,HANDSCORE
36,3,MCTS,MCTS,MCTS,HANDSCORE
37,,MCTS,MCTS,MCTS,HANDSCORE
38,,MCTS,MCTS,MCTS,HANDSCORE
39,2,MCTS,MCTS,MCTS,HANDSCORE
40,,MCTS,MCTS,MCTS,HANDSCORE
41,,MCTS,MCTS,MCTS,HANDSCORE
42,,MCTS,MCTS,MCTS,HANDSCORE
43,,MCTS,MCTS,MCTS,HANDSCORE
44,0,MCTS,MCTS,MCTS,HANDSCORE
45,,MCTS,MCTS,MCTS,HANDSCORE
46,,MCTS,MCTS,MCTS,HANDSCORE
47,2,MCTS,MCTS,MCTS,HANDSCORE
48,,MCTS,MCTS,MCTS,HANDSCORE
49,,MCTS,MCTS,MCTS,HANDSCORE
50,2,MCTS,MCTS,MCTS,HANDSCORE
51,,MCTS,MCTS,MCTS,HANDSCORE
52,1,MCTS,MCTS,MCTS,HANDSCORE
53,,MCTS,MCTS,MCTS,HANDSCORE
54,,MCTS,MCTS,MCTS,HANDSCORE
55,,MCTS,MCTS,MCTS,HANDSCORE
56,0,MCTS,MCTS,MCTS,HANDSCORE
57,1,MCTS,MCTS,MCTS,HANDSCORE
58,,MCTS,MCTS,MCTS,HANDSCORE
59,1,MCTS,MCTS,MCTS,HANDSCORE
60,,MCTS,MCTS,MCTS,HANDSCORE
61,,MCTS,MCTS,MCTS,HANDSCORE
62,,MCTS,MCTS,MCTS,HANDSCORE
63,2,MCTS,MCTS,MCTS,HANDSCORE
64,0,MCTS,MCTS,MCTS,HANDSCORE
65,,MCTS,MCTS,MCTS,HANDSCORE
66,,MCTS,MCTS,MCTS,HANDSCORE
67,,MCTS,MCTS,MCTS,HANDSCORE
68,,MCTS,MCTS,MCTS,HANDSCORE
69,1,MCTS,MCTS,MCTS,HANDSCORE
70,,MCTS,MCTS,MCTS,HANDSCORE
71,,MCTS,MCTS,MCTS,HANDSCORE
72,3,MCTS,MCTS,MCTS,HANDSCORE
73,,MCTS,MCTS,MCTS,HANDSCORE
74,,MCTS,MCTS,MCTS,HANDSCORE
75,0,MCTS,MCTS,MCTS,HANDSCORE
76,,MCTS,MCTS,MCTS,HANDSCORE
77,,MCTS,MCTS,MCTS,HANDSCORE
78,0,MCTS,MCTS,MCTS,HANDSCORE
79,,MCTS,MCTS,MCTS,HANDSCORE
80,,MCTS,MCTS,MCTS,HANDSCORE
