game,winning_player,player0,player1,player2,player3
0,0.0,MCTS,MCTS,MCTS,MCTS
1,2.0,MCTS,MCTS,MCTS,MCTS
2,,MCTS,MCTS,MCTS,MCTS
3,,MCTS,MCTS,MCTS,MCTS
4,0.0,MCTS,MCTS,MCTS,MCTS
5,1.0,MCTS,MCTS,MCTS,MCTS
6,,MCTS,MCTS,MCTS,MCTS
7,,MCTS,MCTS,MCTS,MCTS
8,,MCTS,MCTS,MCTS,MCTS
9,,MCTS,MCTS,MCTS,MCTS
10,2.0,MCTS,MCTS,MCTS,MCTS
11,2.0,MCTS,MCTS,MCTS,MCTS
12,,MCTS,MCTS,MCTS,MCTS
13,,MCTS,MCTS,MCTS,MCTS
14,,MCTS,MCTS,MCTS,MCTS
15,2.0,MCTS,MCTS,MCTS,MCTS
16,,MCTS,MCTS,MCTS,MCTS
17,,MCTS,MCTS,MCTS,MCTS
18,0.0,MCTS,MCTS,MCTS,MCTS
19,2.0,MCTS,MCTS,MCTS,MCTS
20,,MCTS,MCTS,MCTS,MCTS
21,,MCTS,MCTS,MCTS,MCTS
22,,MCTS,MCTS,MCTS,MCTS
23,2.0,MCTS,MCTS,MCTS,MCTS
24,3.0,MCTS,MCTS,MCTS,MCTS
25,3.0,MCTS,MCTS,MCTS,MCTS
26,0.0,MCTS,MCTS,MCTS,MCTS
27,,MCTS,MCTS,MCTS,MCTS
28,2.0,MCTS,MCTS,MCTS,MCTS
29,,MCTS,MCTS,MCTS,MCTS
30,,MCTS,MCTS,MCTS,MCTS
31,,MCTS,MCTS,MCTS,MCTS
32,,MCTS,MCTS,MCTS,MCTS
33,,MCTS,MCTS,MCTS,MCTS
34,1.0,MCTS,MCTS,MCTS,MCTS
35,,MCTS,MCTS,MCTS,MCTS
36,,MCTS,MCTS,MCTS,MCTS
37,,MCTS,MCTS,MCTS,MCTS
38,,MCTS,MCTS,MCTS,MCTS
39,,MCTS,MCTS,MCTS,MCTS
40,3.0,MCTS,MCTS,MCTS,MCTS
41,,MCTS,MCTS,MCTS,MCTS
42,3.0,MCTS,MCTS,MCTS,MCTS
43,,MCTS,MCTS,MCTS,MCTS
44,,MCTS,MCTS,MCTS,MCTS
45,,MCTS,MCTS,MCTS,MCTS
46,1.0,MCTS,MCTS,MCTS,MCTS
47,,MCTS,MCTS,MCTS,MCTS
48,,MCTS,MCTS,MCTS,MCTS
49,1.0,MCTS,MCTS,MCTS,MCTS
50,0.0,MCTS,MCTS,MCTS,MCTS
51,,MCTS,MCTS,MCTS,MCTS
52,1.0,MCTS,MCTS,MCTS,MCTS
53,,MCTS,MCTS,MCTS,MCTS
54,,MCTS,MCTS,MCTS,MCTS
55,2.0,MCTS,MCTS,MCTS,MCTS
56,,MCTS,MCTS,MCTS,MCTS
57,,MCTS,MCTS,MCTS,MCTS
58,,MCTS,MCTS,MCTS,MCTS
59,0.0,MCTS,MCTS,MCTS,MCTS
60,,MCTS,MCTS,MCTS,MCTS
61,,MCTS,MCTS,MCTS,MCTS
62,,MCTS,MCTS,MCTS,MCTS
63,3.0,MCTS,MCTS,MCTS,MCTS
64,,MCTS,MCTS,MCTS,MCTS
65,1.0,MCTS,MCTS,MCTS,MCTS
66,,MCTS,MCTS,MCTS,MCTS
67,,MCTS,MCTS,MCTS,MCTS
68,3.0,MCTS,MCTS,MCTS,MCTS
69,,MCTS,MCTS,MCTS,MCTS
70,,MCTS,MCTS,MCTS,MCTS
71,3.0,MCTS,MCTS,MCTS,MCTS
72,1.0,MCTS,MCTS,MCTS,MCTS
73,,MCTS,MCTS,MCTS,MCTS
74,3.0,MCTS,MCTS,MCTS,MCTS
75,3.0,MCTS,MCTS,MCTS,MCTS
76,3.0,MCTS,MCTS,MCTS,MCTS
77,0.0,MCTS,MCTS,MCTS,MCTS
78,2.0,MCTS,MCTS,MCTS,MCTS
79,,MCTS,MCTS,MCTS,MCTS
80,0.0,MCTS,MCTS,MCTS,MCTS
81,3.0,MCTS,MCTS,MCTS,MCTS
82,2.0,MCTS,MCTS,MCTS,MCTS
83,,MCTS,MCTS,MCTS,MCTS
84,,MCTS,MCTS,MCTS,MCTS
85,,MCTS,MCTS,MCTS,MCTS
86,,MCTS,MCTS,MCTS,MCTS
87,,MCTS,MCTS,MCTS,MCTS
88,,MCTS,MCTS,MCTS,MCTS
89,0.0,MCTS,MCTS,MCTS,MCTS
90,3.0,MCTS,MCTS,MCTS,MCTS
91,,MCTS,MCTS,MCTS,MCTS
92,2.0,MCTS,MCTS,MCTS,MCTS
93,,MCTS,MCTS,MCTS,MCTS
94,1.0,MCTS,MCTS,MCTS,MCTS
95,,MCTS,MCTS,MCTS,MCTS
96,,MCTS,MCTS,MCTS,MCTS
97,,MCTS,MCTS,MCTS,MCTS
98,2.0,MCTS,MCTS,MCTS,MCTS
99,,MCTS,MCTS,MCTS,MCTS
100,3.0,MCTS,MCTS,MCTS,MCTS
101,,MCTS,MCTS,MCTS,MCTS
102,3.0,MCTS,MCTS,MCTS,MCTS
103,,MCTS,MCTS,MCTS,MCTS
104,,MCTS,MCTS,MCTS,MCTS
105,3.0,MCTS,MCTS,MCTS,MCTS
106,,MCTS,MCTS,MCTS,MCTS
107,,MCTS,MCTS,MCTS,MCTS
108,1.0,MCTS,MCTS,MCTS,MCTS
109,1.0,MCTS,MCTS,MCTS,MCTS
110,,MCTS,MCTS,MCTS,MCTS
111,,MCTS,MCTS,MCTS,MCTS
112,,MCTS,MCTS,MCTS,MCTS
113,,MCTS,MCTS,MCTS,MCTS
114,,MCTS,MCTS,MCTS,MCTS
115,3.0,MCTS,MCTS,MCTS,MCTS
116,,MCTS,MCTS,MCTS,MCTS
117,,MCTS,MCTS,MCTS,MCTS
118,,MCTS,MCTS,MCTS,MCTS
119,,MCTS,MCTS,MCTS,MCTS
120,,MCTS,MCTS,MCTS,MCTS
121,0.0,MCTS,MCTS,MCTS,MCTS
122,,MCTS,MCTS,MCTS,MCTS
123,,MCTS,MCTS,MCTS,MCTS
124,,MCTS,MCTS,MCTS,MCTS
125,,MCTS,MCTS,MCTS,MCTS
126,3.0,MCTS,MCTS,MCTS,MCTS
127,,MCTS,MCTS,MCTS,MCTS
128,,MCTS,MCTS,MCTS,MCTS
129,,MCTS,MCTS,MCTS,MCTS
130,1.0,MCTS,MCTS,MCTS,MCTS
131,,MCTS,MCTS,MCTS,MCTS
132,,MCTS,MCTS,MCTS,MCTS
133,,MCTS,MCTS,MCTS,MCTS
134,,MCTS,MCTS,MCTS,MCTS
135,,MCTS,MCTS,MCTS,MCTS
136,,MCTS,MCTS,MCTS,MCTS
137,,MCTS,MCTS,MCTS,MCTS
138,,MCTS,MCTS,MCTS,MCTS
139,,MCTS,MCTS,MCTS,MCTS
140,3.0,MCTS,MCTS,MCTS,MCTS
141,0.0,MCTS,MCTS,MCTS,MCTS
142,3.0,MCTS,MCTS,MCTS,MCTS
143,2.0,MCTS,MCTS,MCTS,MCTS
144,,MCTS,MCTS,MCTS,MCTS
145,,MCTS,MCTS,MCTS,MCTS
146,,MCTS,MCTS,MCTS,MCTS
147,3.0,MCTS,MCTS,MCTS,MCTS
148,0.0,MCTS,MCTS,MCTS,MCTS
149,,MCTS,MCTS,MCTS,MCTS
150,,MCTS,MCTS,MCTS,MCTS
151,,MCTS,MCTS,MCTS,MCTS
152,,MCTS,MCTS,MCTS,MCTS
153,,MCTS,MCTS,MCTS,MCTS
154,3.0,MCTS,MCTS,MCTS,MCTS
155,1.0,MCTS,MCTS,MCTS,MCTS
156,,MCTS,MCTS,MCTS,MCTS
157,3.0,MCTS,MCTS,MCTS,MCTS
158,,MCTS,MCTS,MCTS,MCTS
159,3.0,MCTS,MCTS,MCTS,MCTS
160,,MCTS,MCTS,MCTS,MCTS
161,,MCTS,MCTS,MCTS,MCTS
162,0.0,MCTS,MCTS,MCTS,MCTS
163,,MCTS,MCTS,MCTS,MCTS
164,3.0,MCTS,MCTS,MCTS,MCTS
165,,MCTS,MCTS,MCTS,MCTS
166,,MCTS,MCTS,MCTS,MCTS
167,2.0,MCTS,MCTS,MCTS,MCTS
168,,MCTS,MCTS,MCTS,MCTS
169,1.0,MCTS,MCTS,MCTS,MCTS
170,,MCTS,MCTS,MCTS,MCTS
171,,MCTS,MCTS,MCTS,MCTS
172,,MCTS,MCTS,MCTS,MCTS
173,,MCTS,MCTS,MCTS,MCTS
174,2.0,MCTS,MCTS,MCTS,MCTS
175,,MCTS,MCTS,MCTS,MCTS
176,1.0,MCTS,MCTS,MCTS,MCTS
177,,MCTS,MCTS,MCTS,MCTS
178,,MCTS,MCTS,MCTS,MCTS
179,0.0,MCTS,MCTS,MCTS,MCTS
180,,MCTS,MCTS,MCTS,MCTS
181,1.0,MCTS,MCTS,MCTS,MCTS
182,,MCTS,MCTS,MCTS,MCTS
183,0.0,MCTS,MCTS,MCTS,MCTS
184,,MCTS,MCTS,MCTS,MCTS
185,2.0,MCTS,MCTS,MCTS,MCTS
186,,MCTS,MCTS,MCTS,MCTS
187,,MCTS,MCTS,MCTS,MCTS
188,,MCTS,MCTS,MCTS,MCTS
189,,MCTS,MCTS,MCTS,MCTS
190,,MCTS,MCTS,MCTS,MCTS
191,,MCTS,MCTS,MCTS,MCTS
192,,MCTS,MCTS,MCTS,MCTS
193,,MCTS,MCTS,MCTS,MCTS
194,,MCTS,MCTS,MCTS,MCTS
195,,MCTS,MCTS,MCTS,MCTS
196,,MCTS,MCTS,MCTS,MCTS
197,,MCTS,MCTS,MCTS,MCTS
198,,MCTS,MCTS,MCTS,MCTS
199,,MCTS,MCTS,MCTS,MCTS
200,,MCTS,MCTS,MCTS,MCTS
201,,MCTS,MCTS,MCTS,MCTS
202,3.0,MCTS,MCTS,MCTS,MCTS
203,0.0,MCTS,MCTS,MCTS,MCTS
204,,MCTS,MCTS,MCTS,MCTS
205,1.0,MCTS,MCTS,MCTS,MCTS
206,,MCTS,MCTS,MCTS,MCTS
207,,MCTS,MCTS,MCTS,MCTS
208,,MCTS,MCTS,MCTS,MCTS
209,,MCTS,MCTS,MCTS,MCTS
210,1.0,MCTS,MCTS,MCTS,MCTS
211,,MCTS,MCTS,MCTS,MCTS
212,2.0,MCTS,MCTS,MCTS,MCTS
213,,MCTS,MCTS,MCTS,MCTS
214,,MCTS,MCTS,MCTS,MCTS
215,0.0,MCTS,MCTS,MCTS,MCTS
216,,MCTS,MCTS,MCTS,MCTS
217,3.0,MCTS,MCTS,MCTS,MCTS
218,,MCTS,MCTS,MCTS,MCTS
219,,MCTS,MCTS,MCTS,MCTS
220,2.0,MCTS,MCTS,MCTS,MCTS
221,,MCTS,MCTS,MCTS,MCTS
222,,MCTS,MCTS,MCTS,MCTS
223,,MCTS,MCTS,MCTS,MCTS
224,,MCTS,MCTS,MCTS,MCTS
225,2.0,MCTS,MCTS,MCTS,MCTS
226,,MCTS,MCTS,MCTS,MCTS
227,0.0,MCTS,MCTS,MCTS,MCTS
228,2.0,MCTS,MCTS,MCTS,MCTS
229,,MCTS,MCTS,MCTS,MCTS
230,,MCTS,MCTS,MCTS,MCTS
231,,MCTS,MCTS,MCTS,MCTS
232,,MCTS,MCTS,MCTS,MCTS
233,,MCTS,MCTS,MCTS,MCTS
234,2.0,MCTS,MCTS,MCTS,MCTS
235,,MCTS,MCTS,MCTS,MCTS
236,0.0,MCTS,MCTS,MCTS,MCTS
237,,MCTS,MCTS,MCTS,MCTS
238,,MCTS,MCTS,MCTS,MCTS
239,2.0,MCTS,MCTS,MCTS,MCTS
240,,MCTS,MCTS,MCTS,MCTS
241,,MCTS,MCTS,MCTS,MCTS
242,,MCTS,MCTS,MCTS,MCTS
243,2.0,MCTS,MCTS,MCTS,MCTS
244,3.0,MCTS,MCTS,MCTS,MCTS
245,,MCTS,MCTS,MCTS,MCTS
246,,MCTS,MCTS,MCTS,MCTS
247,,MCTS,MCTS,MCTS,MCTS
248,,MCTS,MCTS,MCTS,MCTS
249,,MCTS,MCTS,MCTS,MCTS
250,,MCTS,MCTS,MCTS,MCTS
251,2.0,MCTS,MCTS,MCTS,MCTS
252,,MCTS,MCTS,MCTS,MCTS
253,,MCTS,MCTS,MCTS,MCTS
254,0.0,MCTS,MCTS,MCTS,MCTS
255,0.0,MCTS,MCTS,MCTS,MCTS
256,,MCTS,MCTS,MCTS,MCTS
257,,MCTS,MCTS,MCTS,MCTS
258,,MCTS,MCTS,MCTS,MCTS
259,0.0,MCTS,MCTS,MCTS,MCTS
260,0.0,MCTS,MCTS,MCTS,MCTS
261,,MCTS,MCTS,MCTS,MCTS
262,1.0,MCTS,MCTS,MCTS,MCTS
263,,MCTS,MCTS,MCTS,MCTS
264,3.0,MCTS,MCTS,MCTS,MCTS
265,,MCTS,MCTS,MCTS,MCTS
266,,MCTS,MCTS,MCTS,MCTS
267,,MCTS,MCTS,MCTS,MCTS
268,,MCTS,MCTS,MCTS,MCTS
269,3.0,MCTS,MCTS,MCTS,MCTS
270,1.0,MCTS,MCTS,MCTS,MCTS
271,,MCTS,MCTS,MCTS,MCTS
