game,winning_player,player0,player1,player2,player3
0,1,MCTS,MCTS,MCTS,RANDOM
1,,MCTS,MCTS,MCTS,RANDOM
2,,MCTS,MCTS,MCTS,RANDOM
3,,MCTS,MCTS,MCTS,RANDOM
4,,MCTS,MCTS,MCTS,RANDOM
5,0,MCTS,MCTS,MCTS,RANDOM
6,1,MCTS,MCTS,MCTS,RANDOM
7,,MCTS,MCTS,MCTS,RANDOM
8,,MCTS,MCTS,MCTS,RANDOM
9,,MCTS,MCTS,MCTS,RANDOM
10,,MCTS,MCTS,MCTS,RANDOM
11,,MCTS,MCTS,MCTS,RANDOM
12,,MCTS,MCTS,MCTS,RANDOM
13,3,MCTS,MCTS,MCTS,RANDOM
14,,MCTS,MCTS,MCTS,RANDOM
15,,MCTS,MCTS,MCTS,RANDOM
16,,MCTS,MCTS,MCTS,RANDOM
17,,MCTS,MCTS,MCTS,RANDOM
18,1,MCTS,MCTS,MCTS,RANDOM
19,0,MCTS,MCTS,MCTS,RANDOM
20,,MCTS,MCTS,MCTS,RANDOM
21,,MCTS,MCTS,MCTS,RANDOM
22,,MCTS,MCTS,MCTS,RANDOM
23,,MCTS,MCTS,MCTS,RANDOM
24,2,MCTS,MCTS,MCTS,RANDOM
25,1,MCTS,MCTS,MCTS,RANDOM
26,2,MCTS,MCTS,MCTS,RANDOM
27,,MCTS,MCTS,MCTS,RANDOM
28,2,MCTS,MCTS,MCTS,RANDOM
29,,MCTS,MCTS,MCTS,RANDOM
30,,MCTS,MCTS,MCTS,RANDOM
31,0,MCTS,MCTS,MCTS,RANDOM
32,,MCTS,MCTS,MCTS,RANDOM
33,1,MCTS,MCTS,MCTS,RANDOM
34,0,MCTS,MCTS,MCTS,RANDOM
35,,MCTS,MCTS,MCTS,RANDOM
36,1,MCTS,MCTS,MCTS,RANDOM
37,1,MCTS,MCTS,MCTS,RANDOM
38,,MCTS,MCTS,MCTS,RANDOM
39,2,MCTS,MCTS,MCTS,RANDOM
