game,winning_player,player0,player1,player2,player3
0,,MCTS,MCTS,RANDOM,RANDOM
1,,MCTS,MCTS,RANDOM,RANDOM
2,0,MCTS,MCTS,RANDOM,RANDOM
3,,MCTS,MCTS,RANDOM,RANDOM
4,,MCTS,MCTS,RANDOM,RANDOM
5,,MCTS,MCTS,RANDOM,RANDOM
6,1,MCTS,MCTS,RANDOM,RANDOM
7,1,MCTS,MCTS,RANDOM,RANDOM
8,,MCTS,MCTS,RANDOM,RANDOM
9,,MCTS,MCTS,RANDOM,RANDOM
10,,MCTS,MCTS,RANDOM,RANDOM
11,,MCTS,MCTS,RANDOM,RANDOM
12,,MCTS,MCTS,RANDOM,RANDOM
13,0,MCTS,MCTS,RANDOM,RANDOM
14,3,MCTS,MCTS,RANDOM,RANDOM
15,,MCTS,MCTS,RANDOM,RANDOM
16,,MCTS,MCTS,RANDOM,RANDOM
17,0,MCTS,MCTS,RANDOM,RANDOM
18,,MCTS,MCTS,RANDOM,RANDOM
19,0,MCTS,MCTS,RANDOM,RANDOM
20,,MCTS,MCTS,RANDOM,RANDOM
21,,MCTS,MCTS,RANDOM,RANDOM
22,,MCTS,MCTS,RANDOM,RANDOM
23,,MCTS,MCTS,RANDOM,RANDOM
24,3,MCTS,MCTS,RANDOM,RANDOM
25,1,MCTS,MCTS,RANDOM,RANDOM
26,,MCTS,MCTS,RANDOM,RANDOM
27,,MCTS,MCTS,RANDOM,RANDOM
28,,MCTS,MCTS,RANDOM,RANDOM
29,,MCTS,MCTS,RANDOM,RANDOM
30,2,MCTS,MCTS,RANDOM,RANDOM
31,0,MCTS,MCTS,RANDOM,RANDOM
32,,MCTS,MCTS,RANDOM,RANDOM
33,,MCTS,MCTS,RANDOM,RANDOM
34,,MCTS,MCTS,RANDOM,RANDOM
35,,MCTS,MCTS,RANDOM,RANDOM
36,,MCTS,MCTS,RANDOM,RANDOM
37,,MCTS,MCTS,RANDOM,RANDOM
38,,MCTS,MCTS,RANDOM,RANDOM
39,,MCTS,MCTS,RANDOM,RANDOM
40,,MCTS,MCTS,RANDOM,RANDOM
41,,MCTS,MCTS,RANDOM,RANDOM
42,,MCTS,MCTS,RANDOM,RANDOM
43,,MCTS,MCTS,RANDOM,RANDOM
44,,MCTS,MCTS,RANDOM,RANDOM
45,2,MCTS,MCTS,RANDOM,RANDOM
46,2,MCTS,MCTS,RANDOM,RANDOM
47,,MCTS,MCTS,RANDOM,RANDOM
48,2,MCTS,MCTS,RANDOM,RANDOM
49,3,MCTS,MCTS,RANDOM,RANDOM
50,2,MCTS,MCTS,RANDOM,RANDOM
51,1,MCTS,MCTS,RANDOM,RANDOM
52,,MCTS,MCTS,RANDOM,RANDOM
53,,MCTS,MCTS,RANDOM,RANDOM
54,3,MCTS,MCTS,RANDOM,RANDOM
