game,winning_player,player0,player1,player2,player3
0,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
1,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
2,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
3,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
4,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
5,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
6,0.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
7,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
8,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
9,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
10,0.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
11,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
12,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
13,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
14,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
15,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
16,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
17,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
18,1.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
19,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
20,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
21,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
22,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
23,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
24,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
25,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
26,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
27,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
28,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
29,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
30,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
