game,winning_player,player0,player1,player2,player3
0,2,MCTS,RANDOM,RANDOM,RANDOM
1,,MCTS,RANDOM,RANDOM,RANDOM
2,,MCTS,RANDOM,RANDOM,RANDOM
3,,MCTS,RANDOM,RANDOM,RANDOM
4,1,MCTS,RANDOM,RANDOM,RANDOM
5,0,MCTS,RANDOM,RANDOM,RANDOM
6,0,MCTS,RANDOM,RANDOM,RANDOM
7,,MCTS,RANDOM,RANDOM,RANDOM
8,,MCTS,RANDOM,RANDOM,RANDOM
9,0,MCTS,RANDOM,RANDOM,RANDOM
10,1,MCTS,RANDOM,RANDOM,RANDOM
11,,MCTS,RANDOM,RANDOM,RANDOM
12,0,MCTS,RANDOM,RANDOM,RANDOM
13,0,MCTS,RANDOM,RANDOM,RANDOM
14,3,MCTS,RANDOM,RANDOM,RANDOM
15,,MCTS,RANDOM,RANDOM,RANDOM
16,,MCTS,RANDOM,RANDOM,RANDOM
17,,MCTS,RANDOM,RANDOM,RANDOM
18,,MCTS,RANDOM,RANDOM,RANDOM
19,,MCTS,RANDOM,RANDOM,RANDOM
20,,MCTS,RANDOM,RANDOM,RANDOM
21,,MCTS,RANDOM,RANDOM,RANDOM
22,1,MCTS,RANDOM,RANDOM,RANDOM
23,,MCTS,RANDOM,RANDOM,RANDOM
24,,MCTS,RANDOM,RANDOM,RANDOM
25,,MCTS,RANDOM,RANDOM,RANDOM
26,1,MCTS,RANDOM,RANDOM,RANDOM
27,,MCTS,RANDOM,RANDOM,RANDOM
28,,MCTS,RANDOM,RANDOM,RANDOM
29,,MCTS,RANDOM,RANDOM,RANDOM
30,1,MCTS,RANDOM,RANDOM,RANDOM
31,2,MCTS,RANDOM,RANDOM,RANDOM
32,,MCTS,RANDOM,RANDOM,RANDOM
33,2,MCTS,RANDOM,RANDOM,RANDOM
34,,MCTS,RANDOM,RANDOM,RANDOM
35,2,MCTS,RANDOM,RANDOM,RANDOM
36,,MCTS,RANDOM,RANDOM,RANDOM
37,,MCTS,RANDOM,RANDOM,RANDOM
38,3,MCTS,RANDOM,RANDOM,RANDOM
39,,MCTS,RANDOM,RANDOM,RANDOM
40,,MCTS,RANDOM,RANDOM,RANDOM
41,3,MCTS,RANDOM,RANDOM,RANDOM
42,,MCTS,RANDOM,RANDOM,RANDOM
43,,MCTS,RANDOM,RANDOM,RANDOM
44,,MCTS,RANDOM,RANDOM,RANDOM
45,0,MCTS,RANDOM,RANDOM,RANDOM
46,,MCTS,RANDOM,RANDOM,RANDOM
47,,MCTS,RANDOM,RANDOM,RANDOM
48,0,MCTS,RANDOM,RANDOM,RANDOM
49,0,MCTS,RANDOM,RANDOM,RANDOM
50,,MCTS,RANDOM,RANDOM,RANDOM
51,1,MCTS,RANDOM,RANDOM,RANDOM
52,,MCTS,RANDOM,RANDOM,RANDOM
53,,MCTS,RANDOM,RANDOM,RANDOM
54,,MCTS,RANDOM,RANDOM,RANDOM
55,,MCTS,RANDOM,RANDOM,RANDOM
56,,MCTS,RANDOM,RANDOM,RANDOM
57,,MCTS,RANDOM,RANDOM,RANDOM
58,,MCTS,RANDOM,RANDOM,RANDOM
59,,MCTS,RANDOM,RANDOM,RANDOM
60,1,MCTS,RANDOM,RANDOM,RANDOM
61,,MCTS,RANDOM,RANDOM,RANDOM
62,,MCTS,RANDOM,RANDOM,RANDOM
63,3,MCTS,RANDOM,RANDOM,RANDOM
64,3,MCTS,RANDOM,RANDOM,RANDOM
65,,MCTS,RANDOM,RANDOM,RANDOM
66,,MCTS,RANDOM,RANDOM,RANDOM
67,,MCTS,RANDOM,RANDOM,RANDOM
68,,MCTS,RANDOM,RANDOM,RANDOM
69,,MCTS,RANDOM,RANDOM,RANDOM
70,,MCTS,RANDOM,RANDOM,RANDOM
71,1,MCTS,RANDOM,RANDOM,RANDOM
72,,MCTS,RANDOM,RANDOM,RANDOM
73,,MCTS,RANDOM,RANDOM,RANDOM
74,,MCTS,RANDOM,RANDOM,RANDOM
75,,MCTS,RANDOM,RANDOM,RANDOM
76,,MCTS,RANDOM,RANDOM,RANDOM
77,,MCTS,RANDOM,RANDOM,RANDOM
78,0,MCTS,RANDOM,RANDOM,RANDOM
79,,MCTS,RANDOM,RANDOM,RANDOM
80,,MCTS,RANDOM,RANDOM,RANDOM
81,2,MCTS,RANDOM,RANDOM,RANDOM
82,,MCTS,RANDOM,RANDOM,RANDOM
83,,MCTS,RANDOM,RANDOM,RANDOM
84,,MCTS,RANDOM,RANDOM,RANDOM
85,,MCTS,RANDOM,RANDOM,RANDOM
86,,MCTS,RANDOM,RANDOM,RANDOM
87,,MCTS,RANDOM,RANDOM,RANDOM
88,,MCTS,RANDOM,RANDOM,RANDOM
89,,MCTS,RANDOM,RANDOM,RANDOM
90,,MCTS,RANDOM,RANDOM,RANDOM
91,0,MCTS,RANDOM,RANDOM,RANDOM
92,,MCTS,RANDOM,RANDOM,RANDOM
93,,MCTS,RANDOM,RANDOM,RANDOM
94,2,MCTS,RANDOM,RANDOM,RANDOM
95,0,MCTS,RANDOM,RANDOM,RANDOM
96,,MCTS,RANDOM,RANDOM,RANDOM
97,,MCTS,RANDOM,RANDOM,RANDOM
98,,MCTS,RANDOM,RANDOM,RANDOM
99,,MCTS,RANDOM,RANDOM,RANDOM
100,1,MCTS,RANDOM,RANDOM,RANDOM
101,3,MCTS,RANDOM,RANDOM,RANDOM
102,0,MCTS,RANDOM,RANDOM,RANDOM
103,,MCTS,RANDOM,RANDOM,RANDOM
104,2,MCTS,RANDOM,RANDOM,RANDOM
105,,MCTS,RANDOM,RANDOM,RANDOM
106,,MCTS,RANDOM,RANDOM,RANDOM
107,,MCTS,RANDOM,RANDOM,RANDOM
108,,MCTS,RANDOM,RANDOM,RANDOM
109,,MCTS,RANDOM,RANDOM,RANDOM
110,,MCTS,RANDOM,RANDOM,RANDOM
111,,MCTS,RANDOM,RANDOM,RANDOM
112,,MCTS,RANDOM,RANDOM,RANDOM
