game,winning_player,player0,player1,player2,player3
0,,MCTS,MCTS,HANDSCORE,HANDSCORE
1,,MCTS,MCTS,HANDSCORE,HANDSCORE
2,2,MCTS,MCTS,HANDSCORE,HANDSCORE
3,3,MCTS,MCTS,HANDSCORE,HANDSCORE
4,2,MCTS,MCTS,HANDSCORE,HANDSCORE
5,,MCTS,MCTS,HANDSCORE,HANDSCORE
6,,MCTS,MCTS,HANDSCORE,HANDSCORE
7,,MCTS,MCTS,HANDSCORE,HANDSCORE
8,,MCTS,MCTS,HANDSCORE,HANDSCORE
9,,MCTS,MCTS,HANDSCORE,HANDSCORE
10,,MCTS,MCTS,HANDSCORE,HANDSCORE
11,1,MCTS,MCTS,HANDSCORE,HANDSCORE
12,1,MCTS,MCTS,HANDSCORE,HANDSCORE
13,,MCTS,MCTS,HANDSCORE,HANDSCORE
14,,MCTS,MCTS,HANDSCORE,HANDSCORE
15,,MCTS,MCTS,HANDSCORE,HANDSCORE
16,,MCTS,MCTS,HANDSCORE,HANDSCORE
17,0,MCTS,MCTS,HANDSCORE,HANDSCORE
18,,MCTS,MCTS,HANDSCORE,HANDSCORE
19,3,MCTS,MCTS,HANDSCORE,HANDSCORE
20,2,MCTS,MCTS,HANDSCORE,HANDSCORE
21,,MCTS,MCTS,HANDSCORE,HANDSCORE
22,,MCTS,MCTS,HANDSCORE,HANDSCORE
23,,MCTS,MCTS,HANDSCORE,HANDSCORE
24,,MCTS,MCTS,HANDSCORE,HANDSCORE
25,,MCTS,MCTS,HANDSCORE,HANDSCORE
26,,MCTS,MCTS,HANDSCORE,HANDSCORE
27,,MCTS,MCTS,HANDSCORE,HANDSCORE
28,1,MCTS,MCTS,HANDSCORE,HANDSCORE
29,3,MCTS,MCTS,HANDSCORE,HANDSCORE
30,,MCTS,MCTS,HANDSCORE,HANDSCORE
31,2,MCTS,MCTS,HANDSCORE,HANDSCORE
32,1,MCTS,MCTS,HANDSCORE,HANDSCORE
33,,MCTS,MCTS,HANDSCORE,HANDSCORE
34,0,MCTS,MCTS,HANDSCORE,HANDSCORE
35,,MCTS,MCTS,HANDSCORE,HANDSCORE
36,2,MCTS,MCTS,HANDSCORE,HANDSCORE
37,,MCTS,MCTS,HANDSCORE,HANDSCORE
38,,MCTS,MCTS,HANDSCORE,HANDSCORE
39,,MCTS,MCTS,HANDSCORE,HANDSCORE
40,0,MCTS,MCTS,HANDSCORE,HANDSCORE
41,2,MCTS,MCTS,HANDSCORE,HANDSCORE
42,0,MCTS,MCTS,HANDSCORE,HANDSCORE
