game,winning_player,player0,player1,player2,player3
0,,MCTS,MCTS,MCTS,HANDSCORE
1,,MCTS,MCTS,MCTS,HANDSCORE
2,,MCTS,MCTS,MCTS,HANDSCORE
3,,MCTS,MCTS,MCTS,HANDSCORE
4,2,MCTS,MCTS,MCTS,HANDSCORE
5,0,MCTS,MCTS,MCTS,HANDSCORE
6,0,MCTS,MCTS,MCTS,HANDSCORE
7,,MCTS,MCTS,MCTS,HANDSCORE
8,2,MCTS,MCTS,MCTS,HANDSCORE
9,,MCTS,MCTS,MCTS,HANDSCORE
10,,MCTS,MCTS,MCTS,HANDSCORE
11,2,MCTS,MCTS,MCTS,HANDSCORE
12,0,MCTS,MCTS,MCTS,HANDSCORE
13,,MCTS,MCTS,MCTS,HANDSCORE
14,,MCTS,MCTS,MCTS,HANDSCORE
15,,MCTS,MCTS,MCTS,HANDSCORE
16,,MCTS,MCTS,MCTS,HANDSCORE
17,,MCTS,MCTS,MCTS,HANDSCORE
18,1,MCTS,MCTS,MCTS,HANDSCORE
19,,MCTS,MCTS,MCTS,HANDSCORE
20,0,MCTS,MCTS,MCTS,HANDSCORE
21,0,MCTS,MCTS,MCTS,HANDSCORE
22,,MCTS,MCTS,MCTS,HANDSCORE
23,,MCTS,MCTS,MCTS,HANDSCORE
24,,MCTS,MCTS,MCTS,HANDSCORE
25,,MCTS,MCTS,MCTS,HANDSCORE
26,,MCTS,MCTS,MCTS,HANDSCORE
27,,MCTS,MCTS,MCTS,HANDSCORE
28,,MCTS,MCTS,MCTS,HANDSCORE
29,3,MCTS,MCTS,MCTS,HANDSCORE
30,,MCTS,MCTS,MCTS,HANDSCORE
31,2,MCTS,MCTS,MCTS,HANDSCORE
32,,MCTS,MCTS,MCTS,HANDSCORE
33,2,MCTS,MCTS,MCTS,HANDSCORE
34,3,MCTS,MCTS,MCTS,HANDSCORE
35,,MCTS,MCTS,MCTS,HANDSCORE
36,3,MCTS,MCTS,MCTS,HANDSCORE
37,,MCTS,MCTS,MCTS,HANDSCORE
38,,MCTS,MCTS,MCTS,HANDSCORE
39,0,MCTS,MCTS,MCTS,HANDSCORE
40,,MCTS,MCTS,MCTS,HANDSCORE
41,,MCTS,MCTS,MCTS,HANDSCORE
42,,MCTS,MCTS,MCTS,HANDSCORE
