game,winning_player,player0,player1,player2,player3
0,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
1,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
2,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
3,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
4,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
5,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
6,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
7,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
8,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
9,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
10,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
11,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
12,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
13,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
14,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
15,1.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
16,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
17,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
18,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
19,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
20,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
21,0.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
22,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
23,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
24,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
25,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
26,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
27,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
28,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
29,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
30,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
31,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
32,0.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
33,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
34,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
35,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
36,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
37,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
38,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
39,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
40,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
41,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
42,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
43,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
44,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
45,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
46,1.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
47,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
48,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
49,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
50,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
51,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
52,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
53,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
54,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
55,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
56,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
57,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
58,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
59,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
60,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
61,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
62,2.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
63,,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
64,3.0,MCTS,MCTS,SEMIRANDOM,SEMIRANDOM
