game,winning_player,player0,player1,player2,player3
0,3,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
1,3,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
2,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
3,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
4,0,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
5,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
6,1,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
7,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
8,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
9,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
10,3,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
11,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
12,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
13,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
14,3,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
15,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
16,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
17,2,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
18,,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
19,1,MCTS,SEMIRANDOM,SEMIRANDOM,SEMIRANDOM
